model_family,layer,bucket,condition,feature_group,feature_width,direction,scale,n_rows,n_samples,n_prompts,mean_rank_damage,median_rank_damage,rank_damage_positive_n,rank_damage_positive_frac,mean_delta_logit,mean_logit_damage,median_logit_damage,logit_damage_positive_n,logit_damage_positive_frac,nan_logit_n,top1_changed_n,top1_changed_frac
llava,15,image_token_span,control_topk_add_s1p0,control,topk,add,1.0,6,3,2,0.0,0.0,0,0.0,-0.002604,0.002604,0.003906,3,0.5,0,0,0.0
llava,15,image_token_span,control_topk_add_s3p0,control,topk,add,3.0,6,3,2,0.0,0.0,1,0.166667,-0.011719,0.011719,0.023438,4,0.666667,0,0,0.0
llava,15,image_token_span,control_topk_add_s5p0,control,topk,add,5.0,6,3,2,0.0,0.0,1,0.166667,-0.02474,0.02474,0.042969,4,0.666667,0,0,0.0
llava,15,image_token_span,control_topk_subtract_s1p0,control,topk,subtract,1.0,6,3,2,0.0,0.0,0,0.0,-0.005208,0.005208,0.007812,3,0.5,0,0,0.0
llava,15,image_token_span,control_topk_subtract_s3p0,control,topk,subtract,3.0,6,3,2,0.0,0.0,0,0.0,-0.028646,0.028646,0.039062,4,0.666667,0,0,0.0
llava,15,image_token_span,control_topk_subtract_s5p0,control,topk,subtract,5.0,6,3,2,0.333333,0.0,2,0.333333,-0.06901,0.06901,0.078125,4,0.666667,0,0,0.0
llava,15,image_token_span,evidence_top1_add_s1p0,evidence,top1,add,1.0,6,3,2,0.0,0.0,0,0.0,-0.018229,0.018229,0.007812,4,0.666667,0,0,0.0
llava,15,image_token_span,evidence_top1_add_s3p0,evidence,top1,add,3.0,6,3,2,-0.166667,0.0,0,0.0,0.013021,-0.013021,-0.007812,3,0.5,0,0,0.0
llava,15,image_token_span,evidence_top1_add_s5p0,evidence,top1,add,5.0,6,3,2,-0.333333,0.0,0,0.0,0.063802,-0.063802,-0.058594,2,0.333333,0,0,0.0
llava,15,image_token_span,evidence_top1_subtract_s1p0,evidence,top1,subtract,1.0,6,3,2,0.0,0.0,0,0.0,0.023438,-0.023438,-0.003906,2,0.333333,0,0,0.0
llava,15,image_token_span,evidence_top1_subtract_s3p0,evidence,top1,subtract,3.0,6,3,2,0.166667,0.0,1,0.166667,0.072917,-0.072917,0.007812,3,0.5,0,0,0.0
llava,15,image_token_span,evidence_top1_subtract_s5p0,evidence,top1,subtract,5.0,6,3,2,-0.166667,0.0,1,0.166667,0.183594,-0.183594,-0.191406,2,0.5,2,2,0.333333
llava,15,image_token_span,evidence_topk_add_s1p0,evidence,topk,add,1.0,6,3,2,0.0,0.0,0,0.0,-0.082031,0.082031,0.117188,4,0.666667,0,0,0.0
llava,15,image_token_span,evidence_topk_add_s3p0,evidence,topk,add,3.0,6,3,2,0.333333,0.0,2,0.333333,-0.394531,0.394531,0.503906,4,0.666667,0,0,0.0
