model_family,direction,group_name,n_rows,n_samples,mean_real_mask_effect_logit,mean_shuffled_mask_effect_logit,mean_real_minus_shuffled_logit,ci95_low,ci95_high,real_stronger_n,status
llava,corrupt,answer_adjacent_text,24,12,0.32959,0.002116,0.327474,0.183105,0.485514,19,stable_real_gt_shuffled
llava,corrupt,low_delta_control,24,12,-0.000976,-0.005859,0.004883,-0.006022,0.018717,9,weak_real_gt_shuffled
llava,corrupt,random_control_1,24,12,-0.053385,0.000325,-0.053711,-0.122396,0.001465,10,heterogeneous
llava,corrupt,top_hidden_delta,24,12,0.195638,0.025228,0.17041,-0.032715,0.440755,12,weak_real_gt_shuffled
llava,corrupt,top_hidden_delta_plus_answer_adjacent,24,12,0.555501,0.004069,0.551432,0.305013,0.839681,20,stable_real_gt_shuffled
llava,restore,answer_adjacent_text,24,12,0.438639,-0.003418,0.442057,0.268555,0.625651,19,stable_real_gt_shuffled
llava,restore,low_delta_control,24,12,0.026204,0.035319,-0.009115,-0.023112,0.003418,9,heterogeneous
llava,restore,random_control_1,24,12,0.256022,0.038574,0.217448,0.035645,0.435547,14,stable_real_gt_shuffled
llava,restore,top_hidden_delta,24,12,1.045899,0.186686,0.859212,0.430827,1.316732,20,stable_real_gt_shuffled
llava,restore,top_hidden_delta_plus_answer_adjacent,24,12,1.636556,0.252604,1.383952,0.848958,1.963704,22,stable_real_gt_shuffled
qwen,corrupt,answer_adjacent_text,24,12,2.80599,0.179688,2.626302,1.584635,3.727865,18,stable_real_gt_shuffled
qwen,corrupt,low_delta_control,24,12,0.0,0.005208,-0.005208,-0.015625,0.005208,1,heterogeneous
qwen,corrupt,random_control_1,24,12,0.0,-0.010417,0.010417,-0.018229,0.054688,3,weak_real_gt_shuffled
qwen,corrupt,top_hidden_delta,24,12,0.195312,0.046875,0.148438,0.020833,0.315104,9,stable_real_gt_shuffled
qwen,corrupt,top_hidden_delta_plus_answer_adjacent,24,12,2.953776,0.234375,2.719401,1.63737,3.860026,19,stable_real_gt_shuffled
qwen,restore,answer_adjacent_text,24,12,2.623698,0.239583,2.384115,1.420573,3.451823,20,stable_real_gt_shuffled
qwen,restore,low_delta_control,24,12,-0.007812,0.007812,-0.015625,-0.035156,0.005208,3,heterogeneous
qwen,restore,random_control_1,24,12,0.027344,-0.010417,0.03776,-0.00651,0.101562,8,weak_real_gt_shuffled
qwen,restore,top_hidden_delta,24,12,0.367188,0.044271,0.322917,0.013021,0.768229,10,stable_real_gt_shuffled
qwen,restore,top_hidden_delta_plus_answer_adjacent,24,12,3.442708,0.286458,3.15625,1.980469,4.38151,20,stable_real_gt_shuffled
