model_family,direction,feature_group,n_rows,positive_logit_n,positive_rank_n,mean_logit_effect,mean_rank_effect,mean_gap_closure
llava,corrupt,activation_matched_topk,12,7,1,-0.020182,0.0,-0.004125
llava,corrupt,drop_matched_topk,12,4,0,-0.007812,0.0,-0.001301
llava,corrupt,evidence_topk,12,2,0,-0.016276,-0.083333,-0.002666
llava,corrupt,mask_insensitive_topk,12,4,0,-0.013021,0.0,-0.003401
llava,corrupt,random_topk,12,9,0,0.029297,0.0,0.006862
llava,restore,activation_matched_topk,12,8,2,0.003255,0.25,0.000689
llava,restore,drop_matched_topk,12,4,1,-0.003906,0.0,-0.000878
llava,restore,evidence_topk,12,2,1,-0.010091,0.0,-0.00231
llava,restore,mask_insensitive_topk,12,4,1,0.001302,-0.083333,0.000249
llava,restore,random_topk,12,7,0,0.003255,-0.083333,0.000691
qwen,corrupt,activation_matched_topk,16,6,1,-0.019531,-0.125,-0.013738
qwen,corrupt,drop_matched_topk,16,3,0,-0.058594,-0.1875,-0.011008
qwen,corrupt,evidence_topk,16,6,4,-0.011719,0.3125,-0.064061
qwen,corrupt,mask_insensitive_topk,16,7,0,0.019531,-0.0625,0.002527
qwen,corrupt,random_topk,16,6,2,0.039062,0.0625,0.009342
qwen,restore,activation_matched_topk,16,3,7,-0.052734,-10.6875,-0.019662
qwen,restore,drop_matched_topk,16,3,4,-0.052734,-83.1875,-0.006021
qwen,restore,evidence_topk,16,7,8,0.011719,140.5625,-0.102351
qwen,restore,mask_insensitive_topk,16,6,7,0.056641,53.0,0.010173
qwen,restore,random_topk,16,6,7,0.058594,61.5,0.008898
