model_family,direction,group_name,n_rows,n_samples,mean_real_mask_effect_logit,mean_shuffled_mask_effect_logit,mean_real_minus_shuffled_logit,ci95_low,ci95_high,real_stronger_n,status
llava,corrupt,answer_adjacent_text,48,24,0.395833,-0.018229,0.414062,0.20223,0.607503,38,stable_real_gt_shuffled
llava,corrupt,low_delta_control,48,24,0.006673,-0.009277,0.01595,-0.000977,0.036702,23,weak_real_gt_shuffled
llava,corrupt,random_control_1,48,24,-0.026855,-0.000488,-0.026367,-0.074544,0.016439,27,heterogeneous
llava,corrupt,top_hidden_delta,48,24,0.267985,0.001546,0.266439,0.062663,0.509196,31,stable_real_gt_shuffled
llava,corrupt,top_hidden_delta_plus_answer_adjacent,48,24,0.65389,-0.027995,0.681885,0.380046,0.982015,41,stable_real_gt_shuffled
llava,restore,answer_adjacent_text,48,24,0.437785,-0.007813,0.445597,0.285726,0.595866,37,stable_real_gt_shuffled
llava,restore,low_delta_control,48,24,0.025716,0.014242,0.011475,-0.006022,0.029622,24,weak_real_gt_shuffled
llava,restore,random_control_1,48,24,0.175252,0.021159,0.154093,0.057251,0.263184,32,stable_real_gt_shuffled
llava,restore,top_hidden_delta,48,24,0.802897,0.082113,0.720784,0.417277,1.050415,39,stable_real_gt_shuffled
llava,restore,top_hidden_delta_plus_answer_adjacent,48,24,1.446818,0.108805,1.338013,0.874959,1.808472,44,stable_real_gt_shuffled
qwen,corrupt,answer_adjacent_text,48,24,2.291016,0.104167,2.186849,1.349609,3.02474,36,stable_real_gt_shuffled
qwen,corrupt,low_delta_control,48,24,0.002604,0.0,0.002604,-0.009115,0.014323,5,weak_real_gt_shuffled
qwen,corrupt,random_control_1,48,24,0.015625,-0.002604,0.018229,-0.001302,0.041667,11,weak_real_gt_shuffled
qwen,corrupt,top_hidden_delta,48,24,0.109375,0.016927,0.092448,0.02474,0.179688,17,stable_real_gt_shuffled
qwen,corrupt,top_hidden_delta_plus_answer_adjacent,48,24,2.352539,0.123698,2.228841,1.371094,3.073242,37,stable_real_gt_shuffled
qwen,restore,answer_adjacent_text,48,24,2.410156,0.158854,2.251302,1.374349,3.120443,38,stable_real_gt_shuffled
qwen,restore,low_delta_control,48,24,-0.002604,0.005208,-0.007812,-0.022135,0.007161,7,heterogeneous
qwen,restore,random_control_1,48,24,0.030599,-0.001302,0.031901,0.001953,0.067057,16,stable_real_gt_shuffled
qwen,restore,top_hidden_delta,48,24,0.199219,0.022135,0.177083,0.017578,0.400391,22,stable_real_gt_shuffled
qwen,restore,top_hidden_delta_plus_answer_adjacent,48,24,2.884766,0.186198,2.698568,1.786458,3.66862,38,stable_real_gt_shuffled
