model_family,reasoning_operation,direction,n_rows,n_samples,source_visual_increment_over_answer_adjacent_mean,source_visual_increment_over_answer_adjacent_ci95_low,source_visual_increment_over_answer_adjacent_ci95_high,source_visual_increment_over_answer_adjacent_status,delta_visual_increment_over_answer_adjacent_mean,delta_visual_increment_over_answer_adjacent_ci95_low,delta_visual_increment_over_answer_adjacent_ci95_high,delta_visual_increment_over_answer_adjacent_status,activation_visual_increment_over_answer_adjacent_mean,activation_visual_increment_over_answer_adjacent_ci95_low,activation_visual_increment_over_answer_adjacent_ci95_high,activation_visual_increment_over_answer_adjacent_status,combo_minus_delta_combo_mean,combo_minus_delta_combo_ci95_low,combo_minus_delta_combo_ci95_high,combo_minus_delta_combo_status,combo_minus_activation_combo_mean,combo_minus_activation_combo_ci95_low,combo_minus_activation_combo_ci95_high,combo_minus_activation_combo_status,visual_minus_delta_visual_mean,visual_minus_delta_visual_ci95_low,visual_minus_delta_visual_ci95_high,visual_minus_delta_visual_status,visual_minus_activation_visual_mean,visual_minus_activation_visual_ci95_low,visual_minus_activation_visual_ci95_high,visual_minus_activation_visual_status,combo_minus_answer_adjacent_mean,combo_minus_answer_adjacent_ci95_low,combo_minus_answer_adjacent_ci95_high,combo_minus_answer_adjacent_status,case_label_counts
llava,scene_inference,corrupt,4,2,0.026367,-0.044922,0.075195,weak_or_heterogeneous_positive,0.070312,0.039062,0.097656,stable_positive,0.011719,-0.017578,0.033203,weak_or_heterogeneous_positive,-0.043945,-0.082031,-0.021484,not_positive,0.014648,-0.025391,0.050781,weak_or_heterogeneous_positive,-0.047852,-0.147461,0.066406,not_positive,0.030273,-0.097656,0.137695,weak_or_heterogeneous_positive,0.026367,-0.044922,0.075195,weak_or_heterogeneous_positive,"{""delta_absorbed_activation_positive"": 3, ""not_above_matched_controls"": 1}"
llava,scene_inference,restore,4,2,0.018555,-0.669922,0.573242,weak_or_heterogeneous_positive,0.145508,-0.363281,0.495117,weak_or_heterogeneous_positive,0.043945,-0.191406,0.206055,weak_or_heterogeneous_positive,-0.126953,-0.306641,0.078125,not_positive,-0.025391,-0.474609,0.363281,not_positive,-0.091309,-0.126953,-0.061035,not_positive,-0.015137,-0.07373,0.019531,not_positive,0.018555,-0.669922,0.573242,weak_or_heterogeneous_positive,"{""above_both_matched_controls"": 1, ""delta_absorbed_activation_positive"": 2, ""not_above_matched_controls"": 1}"
llava,symbol_text_reading,corrupt,22,11,0.456499,0.066584,0.916903,stable_positive,-0.023438,-0.186257,0.145241,not_positive,-0.044212,-0.089134,-0.007102,not_positive,0.479936,-0.004439,1.047763,weak_or_heterogeneous_positive,0.50071,0.101562,0.968928,stable_positive,0.582209,0.045099,1.214489,stable_positive,0.552024,0.095703,1.080611,stable_positive,0.456499,0.066584,0.916903,stable_positive,"{""above_both_matched_controls"": 10, ""activation_absorbed_delta_positive"": 3, ""delta_absorbed_activation_positive"": 2, ""not_above_matched_controls"": 7}"
llava,symbol_text_reading,restore,22,11,1.465554,0.798651,2.143288,stable_positive,1.166371,0.606001,1.745384,stable_positive,0.143821,0.004794,0.323153,stable_positive,0.299183,-0.35902,0.959872,weak_or_heterogeneous_positive,1.321733,0.63157,2.007102,stable_positive,0.165305,-0.329901,0.654119,weak_or_heterogeneous_positive,1.13228,0.594815,1.684126,stable_positive,1.465554,0.798651,2.143288,stable_positive,"{""above_both_matched_controls"": 14, ""delta_absorbed_activation_positive"": 6, ""not_above_matched_controls"": 2}"
llava,visual_readout,corrupt,22,11,0.10174,0.034624,0.191761,stable_positive,-0.001776,-0.052202,0.051491,not_positive,-0.013317,-0.025923,-0.002308,not_positive,0.103516,0.04652,0.166726,stable_positive,0.115057,0.047053,0.204368,stable_positive,0.074041,0.031072,0.119318,stable_positive,0.073686,0.030895,0.128196,stable_positive,0.10174,0.034624,0.191761,stable_positive,"{""above_both_matched_controls"": 15, ""delta_absorbed_activation_positive"": 3, ""not_above_matched_controls"": 4}"
llava,visual_readout,restore,22,11,0.732599,0.207031,1.403764,stable_positive,0.600675,0.156428,1.161577,stable_positive,0.030895,-0.035156,0.118608,weak_or_heterogeneous_positive,0.131925,-0.006214,0.273438,weak_or_heterogeneous_positive,0.701705,0.222124,1.306463,stable_positive,0.158026,0.042259,0.288885,stable_positive,0.489435,0.153498,0.91282,stable_positive,0.732599,0.207031,1.403764,stable_positive,"{""above_both_matched_controls"": 16, ""delta_absorbed_activation_positive"": 2, ""not_above_matched_controls"": 4}"
qwen,scene_inference,corrupt,4,2,-0.03125,-0.09375,0.0,not_positive,-0.03125,-0.09375,0.0,not_positive,0.0,0.0,0.0,not_positive,0.0,0.0,0.0,not_positive,-0.03125,-0.09375,0.0,not_positive,-0.078125,-0.15625,0.0,not_positive,-0.078125,-0.15625,0.0,not_positive,-0.03125,-0.09375,0.0,not_positive,"{""not_above_matched_controls"": 4}"
qwen,scene_inference,restore,4,2,-0.078125,-0.15625,0.0,not_positive,0.0,0.0,0.0,not_positive,0.046875,-0.03125,0.125,weak_or_heterogeneous_positive,-0.078125,-0.15625,0.0,not_positive,-0.125,-0.171875,-0.078125,not_positive,0.0,0.0,0.0,not_positive,-0.078125,-0.125,-0.03125,not_positive,-0.078125,-0.15625,0.0,not_positive,"{""not_above_matched_controls"": 4}"
qwen,symbol_text_reading,corrupt,22,11,0.161222,0.035511,0.318182,stable_positive,0.009943,-0.022727,0.039773,weak_or_heterogeneous_positive,0.037642,0.012074,0.068892,stable_positive,0.151278,0.034091,0.292614,stable_positive,0.12358,-0.004261,0.28267,weak_or_heterogeneous_positive,0.258523,0.059659,0.494318,stable_positive,0.215909,0.034091,0.428977,stable_positive,0.161222,0.035511,0.318182,stable_positive,"{""above_both_matched_controls"": 4, ""activation_absorbed_delta_positive"": 5, ""not_above_matched_controls"": 13}"
qwen,symbol_text_reading,restore,22,11,1.007102,0.204545,2.0625,stable_positive,0.49858,0.011364,1.190341,stable_positive,0.473011,-0.03125,1.204545,weak_or_heterogeneous_positive,0.508523,0.15625,0.926136,stable_positive,0.534091,0.164773,0.951705,stable_positive,0.292614,0.065341,0.571023,stable_positive,0.316761,0.018466,0.701705,stable_positive,1.007102,0.204545,2.0625,stable_positive,"{""above_both_matched_controls"": 8, ""activation_absorbed_delta_positive"": 2, ""delta_absorbed_activation_positive"": 2, ""not_above_matched_controls"": 10}"
qwen,visual_readout,corrupt,22,11,-0.021307,-0.049716,0.005682,not_positive,0.017045,-0.014205,0.045455,weak_or_heterogeneous_positive,0.014205,-0.007102,0.035511,weak_or_heterogeneous_positive,-0.038352,-0.066761,-0.008523,not_positive,-0.035511,-0.066761,-0.005682,not_positive,-0.036932,-0.073864,0.0,not_positive,0.002841,-0.022727,0.028409,weak_or_heterogeneous_positive,-0.021307,-0.049716,0.005682,not_positive,"{""above_both_matched_controls"": 1, ""activation_absorbed_delta_positive"": 1, ""delta_absorbed_activation_positive"": 1, ""not_above_matched_controls"": 19}"
qwen,visual_readout,restore,22,11,0.042614,0.005682,0.079545,stable_positive,0.130682,0.059659,0.213068,stable_positive,0.082386,0.008523,0.176136,stable_positive,-0.088068,-0.161932,-0.019886,not_positive,-0.039773,-0.125,0.03125,not_positive,-0.036932,-0.096591,0.021307,not_positive,0.007102,-0.03125,0.045455,weak_or_heterogeneous_positive,0.042614,0.005682,0.079545,stable_positive,"{""above_both_matched_controls"": 2, ""activation_absorbed_delta_positive"": 2, ""delta_absorbed_activation_positive"": 3, ""not_above_matched_controls"": 15}"
