source_pack,model_family,prompt_name,mask_condition,n_rows,n_samples,source_effect_logit_mean,source_effect_logit_ci95_low,source_effect_logit_ci95_high,source_effect_logit_status,source_effect_logit_positive_n,source_minus_random_logit_mean,source_minus_random_logit_ci95_low,source_minus_random_logit_ci95_high,source_minus_random_logit_status,source_minus_random_logit_positive_n,source_minus_low_delta_logit_mean,source_minus_low_delta_logit_ci95_low,source_minus_low_delta_logit_ci95_high,source_minus_low_delta_logit_status,source_minus_low_delta_logit_positive_n,source_minus_delta_matched_logit_mean,source_minus_delta_matched_logit_ci95_low,source_minus_delta_matched_logit_ci95_high,source_minus_delta_matched_logit_status,source_minus_delta_matched_logit_positive_n,source_minus_activation_matched_logit_mean,source_minus_activation_matched_logit_ci95_low,source_minus_activation_matched_logit_ci95_high,source_minus_activation_matched_logit_status,source_minus_activation_matched_logit_positive_n
stage2m,llava,B_direct,union_mask,48,24,1.038859,0.58252,1.538289,stable_positive,41,0.918986,0.495117,1.389445,stable_positive,40,1.021769,0.56665,1.519653,stable_positive,40,0.232259,-0.049235,0.531413,weak_or_heterogeneous_positive,30,0.611654,0.260579,1.008952,stable_positive,37
stage2m,llava,D_visual_only,union_mask,48,24,1.061849,0.666992,1.490885,stable_positive,37,0.938558,0.570211,1.354736,stable_positive,38,1.046549,0.652181,1.467936,stable_positive,37,0.218506,-0.0507,0.506673,weak_or_heterogeneous_positive,29,0.597087,0.277507,0.941732,stable_positive,37
stage2m,qwen,B_direct,union_mask,48,24,2.855469,1.91862,3.753255,stable_positive,40,2.807943,1.892253,3.683105,stable_positive,40,2.852214,1.916016,3.746745,stable_positive,40,0.132161,-0.009115,0.322917,weak_or_heterogeneous_positive,11,0.151367,0.003906,0.332031,stable_positive,12
stage2m,qwen,D_visual_only,union_mask,48,24,2.381836,1.516927,3.214844,stable_positive,40,2.347982,1.487793,3.177572,stable_positive,40,2.385091,1.525391,3.222331,stable_positive,40,0.105794,-0.007812,0.254232,weak_or_heterogeneous_positive,14,0.102539,-0.019206,0.257161,weak_or_heterogeneous_positive,9
stage2n_heldout,llava,B_direct,answer_mask,56,28,1.145194,0.845633,1.482806,stable_positive,54,0.941354,0.712865,1.181205,stable_positive,52,1.126918,0.837786,1.443917,stable_positive,54,0.09947,-0.072056,0.279646,weak_or_heterogeneous_positive,31,0.316336,0.162632,0.493827,stable_positive,42
stage2n_heldout,llava,B_direct,union_mask,56,28,1.054129,0.830462,1.294224,stable_positive,54,0.858372,0.683437,1.031826,stable_positive,52,1.040841,0.818499,1.284947,stable_positive,54,-0.135533,-0.327427,0.027065,not_positive,31,0.207171,0.108259,0.324986,stable_positive,40
stage2n_heldout,llava,D_visual_only,answer_mask,56,28,1.060582,0.769531,1.394357,stable_positive,51,0.899214,0.668849,1.143284,stable_positive,49,1.042202,0.757917,1.364293,stable_positive,51,0.086705,-0.077044,0.261021,weak_or_heterogeneous_positive,33,0.310547,0.157959,0.497942,stable_positive,38
stage2n_heldout,llava,D_visual_only,union_mask,56,28,0.957868,0.728481,1.210135,stable_positive,50,0.7579,0.585257,0.929007,stable_positive,49,0.944231,0.717913,1.196045,stable_positive,51,-0.13494,-0.31522,0.026088,not_positive,29,0.181466,0.098737,0.279227,stable_positive,39
stage2n_heldout,qwen,B_direct,answer_mask,56,28,4.082589,3.042411,5.246652,stable_positive,47,4.038993,3.004743,5.18478,stable_positive,48,4.073661,3.033203,5.233538,stable_positive,47,-0.019531,-0.15067,0.086496,not_positive,17,-0.007254,-0.079799,0.06529,not_positive,16
stage2n_heldout,qwen,B_direct,union_mask,56,28,3.805246,2.901786,4.856585,stable_positive,47,3.772321,2.887974,4.802176,stable_positive,47,3.789621,2.894531,4.833147,stable_positive,47,0.070871,-0.00279,0.150112,weak_or_heterogeneous_positive,19,0.010603,-0.066964,0.089286,weak_or_heterogeneous_positive,18
stage2n_heldout,qwen,D_visual_only,answer_mask,56,28,3.673828,2.727121,4.745536,stable_positive,49,3.630859,2.690639,4.675363,stable_positive,49,3.672154,2.726283,4.743862,stable_positive,49,-0.040179,-0.165179,0.050781,not_positive,19,-0.011719,-0.069754,0.044085,not_positive,18
stage2n_heldout,qwen,D_visual_only,union_mask,56,28,3.312779,2.496931,4.271205,stable_positive,46,3.285017,2.471959,4.227121,stable_positive,46,3.307478,2.491071,4.258929,stable_positive,46,0.050223,-0.017299,0.125,weak_or_heterogeneous_positive,21,-0.007812,-0.075335,0.060268,not_positive,19
