source_pack,model_family,mask_condition,direction,n_rows,n_samples,source_effect_logit_mean,source_effect_logit_ci95_low,source_effect_logit_ci95_high,source_effect_logit_status,source_effect_logit_positive_n,source_minus_random_logit_mean,source_minus_random_logit_ci95_low,source_minus_random_logit_ci95_high,source_minus_random_logit_status,source_minus_random_logit_positive_n,source_minus_low_delta_logit_mean,source_minus_low_delta_logit_ci95_low,source_minus_low_delta_logit_ci95_high,source_minus_low_delta_logit_status,source_minus_low_delta_logit_positive_n,source_minus_delta_matched_logit_mean,source_minus_delta_matched_logit_ci95_low,source_minus_delta_matched_logit_ci95_high,source_minus_delta_matched_logit_status,source_minus_delta_matched_logit_positive_n,source_minus_activation_matched_logit_mean,source_minus_activation_matched_logit_ci95_low,source_minus_activation_matched_logit_ci95_high,source_minus_activation_matched_logit_status,source_minus_activation_matched_logit_positive_n
stage2m,llava,union_mask,corrupt,48,24,0.65389,0.349854,0.972656,stable_positive,37,0.662903,0.358012,0.980977,stable_positive,40,0.647217,0.342448,0.964925,stable_positive,37,0.263753,0.033529,0.533366,stable_positive,28,0.283447,0.089518,0.50887,stable_positive,33
stage2m,llava,union_mask,restore,48,24,1.446818,0.943278,1.944702,stable_positive,41,1.194641,0.72819,1.679728,stable_positive,38,1.421102,0.915934,1.92037,stable_positive,40,0.187012,-0.12557,0.502848,weak_or_heterogeneous_positive,31,0.925293,0.50765,1.339844,stable_positive,41
stage2m,qwen,union_mask,corrupt,48,24,2.352539,1.503906,3.174154,stable_positive,40,2.346354,1.503581,3.164062,stable_positive,40,2.349935,1.505208,3.173828,stable_positive,40,0.051758,-0.006836,0.125,weak_or_heterogeneous_positive,11,0.03776,-0.027669,0.113932,weak_or_heterogeneous_positive,6
stage2m,qwen,union_mask,restore,48,24,2.884766,1.938151,3.794271,stable_positive,40,2.80957,1.890299,3.689453,stable_positive,40,2.88737,1.9375,3.794922,stable_positive,40,0.186198,0.013021,0.403646,stable_positive,14,0.216146,0.033854,0.438802,stable_positive,15
stage2n_heldout,llava,answer_mask,corrupt,56,28,0.700474,0.519322,0.894008,stable_positive,49,0.707947,0.529837,0.901646,stable_positive,49,0.691406,0.512626,0.884312,stable_positive,49,0.083461,-0.020961,0.193638,weak_or_heterogeneous_positive,34,0.097656,0.03139,0.164237,stable_positive,35
stage2n_heldout,llava,answer_mask,restore,56,28,1.505301,1.159773,1.898542,stable_positive,56,1.132621,0.876474,1.410427,stable_positive,52,1.477713,1.143032,1.846122,stable_positive,56,0.102714,-0.114502,0.319929,weak_or_heterogeneous_positive,30,0.529227,0.327079,0.755824,stable_positive,45
stage2n_heldout,llava,union_mask,corrupt,56,28,0.795759,0.629813,0.960484,stable_positive,51,0.781546,0.616037,0.944685,stable_positive,51,0.788365,0.623675,0.951521,stable_positive,51,0.03275,-0.070103,0.124581,weak_or_heterogeneous_positive,37,0.118304,0.067871,0.177595,stable_positive,40
stage2n_heldout,llava,union_mask,restore,56,28,1.216239,0.960589,1.513323,stable_positive,53,0.834726,0.654114,1.025774,stable_positive,50,1.196708,0.940046,1.496756,stable_positive,54,-0.303223,-0.537877,-0.0896,not_positive,23,0.270333,0.154925,0.410854,stable_positive,39
stage2n_heldout,qwen,answer_mask,corrupt,56,28,3.606585,2.74442,4.56529,stable_positive,49,3.602121,2.740234,4.561802,stable_positive,50,3.59654,2.734933,4.55692,stable_positive,49,0.024554,-0.014509,0.074219,weak_or_heterogeneous_positive,20,0.003906,-0.033482,0.047433,weak_or_heterogeneous_positive,18
stage2n_heldout,qwen,answer_mask,restore,56,28,4.149833,3.044364,5.362444,stable_positive,47,4.067732,2.983189,5.24993,stable_positive,47,4.149275,3.041574,5.362723,stable_positive,47,-0.084263,-0.247768,0.054129,not_positive,16,-0.022879,-0.110491,0.058036,not_positive,16
stage2n_heldout,qwen,union_mask,corrupt,56,28,3.232701,2.445312,4.167411,stable_positive,46,3.226981,2.44322,4.154436,stable_positive,46,3.225446,2.445312,4.15067,stable_positive,46,0.015625,-0.007812,0.041295,weak_or_heterogeneous_positive,16,0.009487,-0.021763,0.045201,weak_or_heterogeneous_positive,18
stage2n_heldout,qwen,union_mask,restore,56,28,3.885324,2.962612,4.928571,stable_positive,47,3.830357,2.932896,4.856724,stable_positive,47,3.871652,2.955357,4.913504,stable_positive,47,0.105469,0.008371,0.202567,stable_positive,24,-0.006696,-0.103237,0.09096,not_positive,19
