source_pack,model_family,reasoning_operation,mask_condition,direction,n_rows,n_samples,source_effect_logit_mean,source_effect_logit_ci95_low,source_effect_logit_ci95_high,source_effect_logit_status,source_effect_logit_positive_n,source_minus_random_logit_mean,source_minus_random_logit_ci95_low,source_minus_random_logit_ci95_high,source_minus_random_logit_status,source_minus_random_logit_positive_n,source_minus_low_delta_logit_mean,source_minus_low_delta_logit_ci95_low,source_minus_low_delta_logit_ci95_high,source_minus_low_delta_logit_status,source_minus_low_delta_logit_positive_n,source_minus_delta_matched_logit_mean,source_minus_delta_matched_logit_ci95_low,source_minus_delta_matched_logit_ci95_high,source_minus_delta_matched_logit_status,source_minus_delta_matched_logit_positive_n,source_minus_activation_matched_logit_mean,source_minus_activation_matched_logit_ci95_low,source_minus_activation_matched_logit_ci95_high,source_minus_activation_matched_logit_status,source_minus_activation_matched_logit_positive_n
stage2m,llava,scene_inference,union_mask,corrupt,4,2,-0.052734,-2.09082,1.581055,not_positive,3,-0.087158,-2.096924,1.552246,not_positive,3,-0.063477,-2.097656,1.571289,not_positive,3,-0.043945,-0.082031,-0.021485,not_positive,0,0.014648,-0.025391,0.050781,weak_or_heterogeneous_positive,3
stage2m,llava,scene_inference,union_mask,restore,4,2,0.064453,-1.71875,1.630859,weak_or_heterogeneous_positive,3,0.026856,-1.717773,1.601074,weak_or_heterogeneous_positive,3,0.056641,-1.728516,1.628906,weak_or_heterogeneous_positive,3,-0.126953,-0.306641,0.078125,not_positive,1,-0.025391,-0.47461,0.363281,not_positive,3
stage2m,llava,symbol_text_reading,union_mask,corrupt,22,11,0.926491,0.473011,1.44478,stable_positive,19,0.963956,0.514293,1.481046,stable_positive,21,0.917436,0.465376,1.432884,stable_positive,19,0.479936,0.013317,1.049716,stable_positive,13,0.50071,0.115945,0.973899,stable_positive,12
stage2m,llava,symbol_text_reading,union_mask,restore,22,11,1.979226,1.273438,2.690518,stable_positive,20,1.511586,0.849343,2.161621,stable_positive,18,1.931996,1.247159,2.620739,stable_positive,20,0.299183,-0.361683,0.951349,weak_or_heterogeneous_positive,14,1.321733,0.63441,2.0087,stable_positive,20
stage2m,llava,visual_readout,union_mask,corrupt,22,11,0.509766,0.24929,0.801669,stable_positive,15,0.498225,0.233532,0.789329,stable_positive,16,0.506214,0.235263,0.802912,stable_positive,15,0.103516,0.049183,0.169211,stable_positive,15,0.115057,0.048295,0.205788,stable_positive,18
stage2m,llava,visual_readout,union_mask,restore,22,11,1.165749,0.522372,2.020508,stable_positive,18,1.090021,0.468351,1.928755,stable_positive,17,1.158292,0.509499,2.018466,stable_positive,17,0.131925,-0.004084,0.280362,weak_or_heterogeneous_positive,16,0.701705,0.225675,1.332209,stable_positive,18
stage2m,qwen,scene_inference,union_mask,corrupt,4,2,-1.78125,-5.0,1.4375,not_positive,2,-1.765625,-4.96875,1.4375,not_positive,2,-1.734375,-4.96875,1.5,not_positive,2,0.0,0.0,0.0,not_positive,0,-0.03125,-0.09375,0.0,not_positive,0
stage2m,qwen,scene_inference,union_mask,restore,4,2,-1.546875,-4.90625,1.8125,not_positive,2,-1.570312,-4.90625,1.765625,not_positive,2,-1.515625,-4.84375,1.8125,not_positive,2,-0.078125,-0.15625,0.0,not_positive,0,-0.125,-0.171875,-0.078125,not_positive,0
stage2m,qwen,symbol_text_reading,union_mask,corrupt,22,11,3.37571,2.245739,4.507812,stable_positive,20,3.366477,2.238636,4.493608,stable_positive,20,3.370028,2.244318,4.504972,stable_positive,20,0.151278,0.03267,0.289773,stable_positive,9,0.12358,-0.007812,0.273438,weak_or_heterogeneous_positive,4
stage2m,qwen,symbol_text_reading,union_mask,restore,22,11,3.764205,2.552557,5.0,stable_positive,20,3.632457,2.480824,4.806463,stable_positive,20,3.761364,2.548295,5.004261,stable_positive,20,0.508523,0.142045,0.928977,stable_positive,10,0.534091,0.159091,0.957386,stable_positive,10
stage2m,qwen,visual_readout,union_mask,corrupt,22,11,2.080966,1.089489,3.09517,stable_positive,18,2.073864,1.097301,3.085227,stable_positive,18,2.072443,1.089489,3.082386,stable_positive,18,-0.038352,-0.066761,-0.008523,not_positive,2,-0.035511,-0.065341,-0.005682,not_positive,2
stage2m,qwen,visual_readout,union_mask,restore,22,11,2.81108,1.681818,3.994318,stable_positive,18,2.783026,1.649858,3.962003,stable_positive,18,2.81392,1.677557,3.997159,stable_positive,18,-0.088068,-0.161932,-0.019886,not_positive,4,-0.039773,-0.125,0.028409,not_positive,5
stage2n_heldout,llava,untyped_localized,answer_mask,corrupt,38,19,0.689453,0.463199,0.943771,stable_positive,32,0.700992,0.473479,0.956106,stable_positive,32,0.681538,0.455901,0.93236,stable_positive,32,0.092208,-0.026418,0.212171,weak_or_heterogeneous_positive,22,0.096834,0.022307,0.180099,stable_positive,25
stage2n_heldout,llava,untyped_localized,answer_mask,restore,38,19,1.442743,1.079256,1.83347,stable_positive,38,1.250154,0.93308,1.600303,stable_positive,35,1.436523,1.073448,1.829667,stable_positive,38,0.338096,0.104544,0.57905,stable_positive,24,0.526881,0.287263,0.799805,stable_positive,31
stage2n_heldout,llava,untyped_localized,union_mask,corrupt,38,19,0.750822,0.529297,0.987253,stable_positive,33,0.736739,0.516319,0.968262,stable_positive,33,0.742188,0.526418,0.972553,stable_positive,33,-0.023232,-0.162726,0.083265,not_positive,25,0.107011,0.060033,0.157484,stable_positive,29
stage2n_heldout,llava,untyped_localized,union_mask,restore,38,19,1.068205,0.802323,1.362767,stable_positive,36,0.881926,0.632812,1.150288,stable_positive,35,1.077457,0.802426,1.380808,stable_positive,37,-0.174496,-0.421824,0.018863,not_positive,19,0.244089,0.102128,0.407638,stable_positive,24
stage2n_heldout,llava,visual_readout,answer_mask,corrupt,18,9,0.723741,0.445312,1.000434,stable_positive,17,0.722629,0.446479,1.006483,stable_positive,17,0.71224,0.429579,0.989909,stable_positive,17,0.064996,-0.150608,0.295573,weak_or_heterogeneous_positive,12,0.099392,-0.016385,0.248915,weak_or_heterogeneous_positive,10
stage2n_heldout,llava,visual_readout,answer_mask,restore,18,9,1.63737,0.86122,2.58431,stable_positive,18,0.884494,0.462674,1.327338,stable_positive,17,1.56467,0.843316,2.41938,stable_positive,18,-0.394206,-0.753689,-0.002713,not_positive,6,0.53418,0.174045,0.948459,stable_positive,14
stage2n_heldout,llava,visual_readout,union_mask,corrupt,18,9,0.890625,0.643012,1.13151,stable_positive,18,0.876139,0.629828,1.111274,stable_positive,18,0.885851,0.633572,1.130642,stable_positive,18,0.150933,0.01237,0.318576,stable_positive,12,0.142144,0.025391,0.299479,stable_positive,11
stage2n_heldout,llava,visual_readout,union_mask,restore,18,9,1.528754,0.959527,2.242839,stable_positive,17,0.73508,0.487793,0.947483,stable_positive,15,1.448459,0.883789,2.149088,stable_positive,17,-0.574978,-1.050781,-0.152127,not_positive,4,0.325738,0.124783,0.557075,stable_positive,15
stage2n_heldout,qwen,untyped_localized,answer_mask,corrupt,38,19,2.510691,1.540296,3.624178,stable_positive,32,2.508224,1.532689,3.617599,stable_positive,33,2.507401,1.537007,3.622533,stable_positive,32,0.003289,-0.021382,0.026316,weak_or_heterogeneous_positive,14,0.006579,-0.011513,0.024671,weak_or_heterogeneous_positive,14
stage2n_heldout,qwen,untyped_localized,answer_mask,restore,38,19,2.565789,1.327303,3.913651,stable_positive,30,2.558388,1.326275,3.904811,stable_positive,30,2.559622,1.325658,3.908717,stable_positive,30,-0.102796,-0.318257,0.070724,not_positive,11,0.043586,-0.018914,0.109375,weak_or_heterogeneous_positive,13
stage2n_heldout,qwen,untyped_localized,union_mask,corrupt,38,19,2.42023,1.387336,3.581414,stable_positive,28,2.417558,1.386513,3.575247,stable_positive,28,2.424342,1.393092,3.577303,stable_positive,28,0.003289,-0.01727,0.023849,weak_or_heterogeneous_positive,9,-0.004112,-0.027961,0.021382,not_positive,11
stage2n_heldout,qwen,untyped_localized,union_mask,restore,38,19,2.884457,1.734786,4.15625,stable_positive,29,2.872327,1.73273,4.137336,stable_positive,29,2.884868,1.73273,4.162829,stable_positive,29,0.124178,0.023849,0.236842,stable_positive,16,0.003289,-0.055099,0.060855,weak_or_heterogeneous_positive,13
stage2n_heldout,qwen,visual_readout,answer_mask,corrupt,18,9,5.920139,4.569444,7.074653,stable_positive,17,5.911458,4.567708,7.071181,stable_positive,17,5.895833,4.550347,7.041667,stable_positive,17,0.069444,-0.036458,0.213542,weak_or_heterogeneous_positive,6,-0.001736,-0.105903,0.138889,not_positive,4
stage2n_heldout,qwen,visual_readout,answer_mask,restore,18,9,7.493924,5.799479,9.005208,stable_positive,17,7.254123,5.663412,8.721788,stable_positive,17,7.505208,5.823785,9.006944,stable_positive,17,-0.045139,-0.225694,0.142361,not_positive,5,-0.163194,-0.347222,0.041667,not_positive,3
stage2n_heldout,qwen,visual_readout,union_mask,corrupt,18,9,4.947917,3.961806,5.934028,stable_positive,18,4.935764,3.947049,5.926215,stable_positive,18,4.916667,3.934028,5.90625,stable_positive,18,0.041667,-0.010417,0.114583,weak_or_heterogeneous_positive,7,0.038194,-0.034722,0.138889,weak_or_heterogeneous_positive,7
stage2n_heldout,qwen,visual_readout,union_mask,restore,18,9,5.998264,4.782986,7.239583,stable_positive,18,5.852865,4.656684,7.046007,stable_positive,18,5.954861,4.734375,7.201389,stable_positive,18,0.065972,-0.142361,0.28125,weak_or_heterogeneous_positive,8,-0.027778,-0.319444,0.267361,not_positive,6
