model_family,direction,group_name,n_rows,n_samples,mean_real_mask_effect_logit,mean_shuffled_mask_effect_logit,mean_real_minus_shuffled_logit,ci95_low,ci95_high,real_stronger_n,status
llava,corrupt,answer_adjacent_text,56,28,0.695278,0.099295,0.595982,0.427455,0.773298,46,stable_real_gt_shuffled
llava,corrupt,low_delta_control,56,28,0.007394,0.01573,-0.008336,-0.019671,0.001674,23,heterogeneous
llava,corrupt,random_control_1,56,28,0.025251,0.029436,-0.004185,-0.025739,0.018136,24,heterogeneous
llava,corrupt,top_hidden_delta,56,28,0.112165,0.047956,0.064209,0.033936,0.094029,38,stable_real_gt_shuffled
llava,corrupt,top_hidden_delta_plus_answer_adjacent,56,28,0.795759,0.105573,0.690186,0.517404,0.862549,49,stable_real_gt_shuffled
llava,restore,answer_adjacent_text,56,28,0.668701,0.042132,0.626569,0.461461,0.797642,48,stable_real_gt_shuffled
llava,restore,low_delta_control,56,28,0.019531,0.016811,0.00272,-0.026402,0.03411,24,weak_real_gt_shuffled
llava,restore,random_control_1,56,28,0.462542,0.068708,0.393834,0.199184,0.65475,41,stable_real_gt_shuffled
llava,restore,top_hidden_delta,56,28,0.416783,0.014648,0.402134,0.184396,0.703648,42,stable_real_gt_shuffled
llava,restore,top_hidden_delta_plus_answer_adjacent,56,28,1.216239,0.10212,1.114118,0.855329,1.424944,53,stable_real_gt_shuffled
qwen,corrupt,answer_adjacent_text,56,28,3.204241,0.47154,2.732701,1.922991,3.680804,45,stable_real_gt_shuffled
qwen,corrupt,low_delta_control,56,28,0.007254,0.007254,0.0,-0.007812,0.007812,3,heterogeneous
qwen,corrupt,random_control_1,56,28,0.023996,0.009487,0.014509,0.0,0.03125,13,weak_real_gt_shuffled
qwen,corrupt,top_hidden_delta,56,28,0.020089,0.007254,0.012835,-0.007812,0.032924,16,weak_real_gt_shuffled
qwen,corrupt,top_hidden_delta_plus_answer_adjacent,56,28,3.232701,0.515625,2.717076,1.909598,3.660156,46,stable_real_gt_shuffled
qwen,restore,answer_adjacent_text,56,28,3.712891,0.710379,3.002511,2.027623,4.056083,45,stable_real_gt_shuffled
qwen,restore,low_delta_control,56,28,0.013672,-0.004464,0.018136,-0.004464,0.046875,14,weak_real_gt_shuffled
qwen,restore,random_control_1,56,28,0.077567,0.030134,0.047433,-0.004464,0.100446,23,weak_real_gt_shuffled
qwen,restore,top_hidden_delta,56,28,0.121931,0.05971,0.062221,0.006138,0.124163,24,stable_real_gt_shuffled
qwen,restore,top_hidden_delta_plus_answer_adjacent,56,28,3.885324,0.748326,3.136998,2.185826,4.19615,46,stable_real_gt_shuffled
