mask_condition,mask_variant,intervention,feature_role,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
answer_mask,mask_shifted,restore,matched_control,134,134,0.0006559001865671642,-0.0007287779850746269,0.0020409427472014904,0.34328358208955223,0.003987314016504012,0.09701492537313433
answer_mask,mask_shifted,restore,source,134,134,0.0032576375932835823,0.0011804381413246267,0.0054078970382462664,0.41044776119402987,-0.0009171299804392877,0.1791044776119403
answer_mask,mask_shuffled,restore,matched_control,134,134,0.001413829291044776,5.830223880597015e-05,0.002915476329291043,0.30597014925373134,0.011945611768131425,0.04477611940298507
answer_mask,mask_shuffled,restore,source,134,134,0.001734491604477612,-0.00045220673973880594,0.004095732276119403,0.3582089552238806,-0.0018837477843567302,0.05970149253731343
answer_mask,real_mask,restore,matched_control,134,134,0.0012024836753731342,-0.0006196434818097015,0.002973596373600745,0.3283582089552239,-0.00036178962616692197,0.1791044776119403
answer_mask,real_mask,restore,source,134,134,0.0027839319029850746,-0.00040811567164179103,0.0062239461870335815,0.43283582089552236,-0.001122586214776612,0.44029850746268656
answer_mask,real_mask,zeroing,matched_control,134,134,0.0027547807835820895,-0.0018080981809701492,0.007812864388992535,0.40298507462686567,0.02455163987214557,0.1791044776119403
answer_mask,real_mask,zeroing,source,134,134,0.04107392723880597,0.03282379605876866,0.050810401119402986,1.0,-0.040731130571158035,1.335820895522388
union_mask,mask_shifted,restore,matched_control,130,130,0.001044170673076923,-0.00015042818509615385,0.0021336012620192294,0.34615384615384615,0.003859559512069002,-0.038461538461538464
union_mask,mask_shifted,restore,source,130,130,0.0029522235576923076,0.0006610576923076923,0.005288649338942307,0.3769230769230769,0.0010511266877832543,0.3230769230769231
union_mask,mask_shuffled,restore,matched_control,130,130,0.0007211538461538462,-0.0004807692307692308,0.0019230769230769232,0.27692307692307694,-0.0029586675008763962,-0.17692307692307693
union_mask,mask_shuffled,restore,source,130,130,0.0011268028846153845,-0.0012169471153846154,0.0035009765624999982,0.33076923076923076,-0.005038881709528482,0.09230769230769231
union_mask,real_mask,restore,matched_control,130,130,0.0004131610576923077,-0.0011568509615384615,0.0019232647235576915,0.4,0.0003988386578178492,0.25384615384615383
union_mask,real_mask,restore,source,130,130,0.002756911057692308,-0.000736553485576923,0.006160606971153842,0.47692307692307695,-0.0008433694350677568,1.023076923076923
union_mask,real_mask,zeroing,matched_control,130,130,0.0033203125,-0.0005108173076923077,0.007632587139423074,0.33076923076923076,0.01139297047664369,0.2692307692307692
union_mask,real_mask,zeroing,source,130,130,0.04284855769230769,0.03378868689903846,0.051908052884615384,1.0,0.04987607773299677,1.3615384615384616
