position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
answer_adjacent_text,corrupt,activation_matched_topk,union_mask,144,144,-0.001614040798611111,-0.008517795138888888,0.00477498372395833,0.4027777777777778,0.01454500431279306,-0.05555555555555555
answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.004096137152777778,-0.006659613715277778,-0.001681518554687502,0.2847222222222222,0.01401115572158033,-0.1527777777777778
answer_adjacent_text,corrupt,drop_matched_topk,union_mask,144,144,0.0011664496527777778,-0.011719767252604166,0.017618815104166668,0.4097222222222222,-0.022217068185303487,0.3819444444444444
answer_adjacent_text,corrupt,evidence_attribution_topk,union_mask,144,144,0.026448567708333332,0.010524495442708334,0.04717814127604164,0.625,0.011180592003637876,1.2013888888888888
answer_adjacent_text,corrupt,random_active_topk,union_mask,144,144,0.0025499131944444445,0.0001078287760416667,0.005181884765624996,0.3611111111111111,-0.00580594543680364,0.006944444444444444
answer_adjacent_text,restore,activation_matched_topk,union_mask,144,144,-0.0007595486111111111,-0.007270643446180555,0.005405510796440969,0.4513888888888889,0.008717614533738642,0.4097222222222222
answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.00555419921875,-0.008097669813368055,-0.003024291992187502,0.22916666666666666,0.006105024897957727,-1.7083333333333333
answer_adjacent_text,restore,drop_matched_topk,union_mask,144,144,-0.006137424045138889,-0.019050089518229164,0.009948900010850694,0.3888888888888889,-0.020059900039241896,-1.875
answer_adjacent_text,restore,evidence_attribution_topk,union_mask,144,144,0.017110188802083332,0.007839118109809029,0.02605556911892361,0.6388888888888888,-0.005874256955295365,5.027777777777778
answer_adjacent_text,restore,random_active_topk,union_mask,144,144,-0.0006510416666666666,-0.003275722927517361,0.0021837022569444445,0.375,0.003788249689487954,-0.3888888888888889
top_hidden_delta,corrupt,activation_matched_topk,union_mask,144,144,-0.002224392361111111,-0.007080078125,0.0029296875,0.2847222222222222,0.017041570126464668,-0.10416666666666667
top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.0006510416666666666,-0.0004611545138888889,0.001953125,0.2222222222222222,-0.003762356095067589,0.034722222222222224
top_hidden_delta,corrupt,drop_matched_topk,union_mask,144,144,-0.010240342881944444,-0.018190850151909722,-0.0033620198567708426,0.2916666666666667,0.03127155194028554,-0.2569444444444444
top_hidden_delta,corrupt,evidence_attribution_topk,union_mask,144,144,-0.0028211805555555555,-0.00881686740451389,0.002414279513888889,0.4444444444444444,0.04466056311990136,-0.3541666666666667
top_hidden_delta,corrupt,random_active_topk,union_mask,144,144,5.425347222222222e-05,-0.0013292100694444445,0.001492648654513885,0.2847222222222222,0.00356073175274749,-0.041666666666666664
top_hidden_delta,restore,activation_matched_topk,union_mask,144,144,0.0010918511284722222,-0.0011940850151909723,0.003411526150173609,0.3958333333333333,-0.003908477649867971,-0.1111111111111111
top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.0007731119791666666,-0.0018988715277777778,0.00023769802517360926,0.2569444444444444,-0.00032104487930025206,0.14583333333333334
top_hidden_delta,restore,drop_matched_topk,union_mask,144,144,0.0014444986979166667,-0.001682196723090278,0.0045033772786458315,0.4583333333333333,-0.009642774178039312,0.5763888888888888
top_hidden_delta,restore,evidence_attribution_topk,union_mask,144,144,0.007893880208333334,0.0024476793077256947,0.013882785373263887,0.5277777777777778,0.003973823037144639,2.6597222222222223
top_hidden_delta,restore,random_active_topk,union_mask,144,144,0.0010240342881944445,-0.0004001193576388889,0.0024483574761284717,0.2986111111111111,-9.966839050116468e-05,0.16666666666666666
top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,union_mask,144,144,0.0029703776041666665,-0.004014756944444444,0.010431247287326383,0.4305555555555556,0.009121186035157899,0.09722222222222222
top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.00537109375,0.00146484375,0.009522162543402775,0.4375,-0.002279517361032047,0.1527777777777778
top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,union_mask,144,144,-0.0040283203125,-0.013320244683159722,0.005262586805555556,0.4444444444444444,0.0453553823216272,-0.1736111111111111
top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,union_mask,144,144,-0.001193576388888889,-0.008029852973090277,0.005398898654513885,0.4861111111111111,0.05313490005890515,-0.4652777777777778
top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,union_mask,144,144,-0.0003933376736111111,-0.0032962375217013887,0.0025112575954861003,0.375,-0.003918796518606544,-0.020833333333333332
top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,union_mask,144,144,0.008612738715277778,0.003003777398003472,0.014805772569444436,0.5,-0.000259059814190316,1.0625
top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.0006510416666666666,-0.004665968153211806,0.005941263834635413,0.4027777777777778,-0.009629427714508448,0.4305555555555556
top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,union_mask,144,144,0.006571451822916667,0.001253085666232639,0.012132771809895831,0.4722222222222222,0.0014540569431329786,1.4513888888888888
top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,union_mask,144,144,0.003926595052083333,-0.004028659396701389,0.012052578396267354,0.4930555555555556,0.006328630135702481,2.8055555555555554
top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,union_mask,144,144,0.0012749565972222222,-0.0015326605902777778,0.004319932725694444,0.4166666666666667,-0.005419609430289781,-0.0625
