mask_condition,mask_variant,intervention,feature_role,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
answer_mask,mask_shifted,restore,matched_control,133,133,0.0008076832706766917,-0.0005286654135338346,0.0020999765037593987,0.3383458646616541,0.0029233289000114844,0.05263157894736842
answer_mask,mask_shifted,restore,source,133,133,0.00290031719924812,0.0009176383341165413,0.005176699071898496,0.38345864661654133,0.0008483613764935671,0.21804511278195488
answer_mask,mask_shuffled,restore,matched_control,133,133,0.00096921992481203,-0.0003968661889097744,0.002305935737781953,0.3007518796992481,0.011484067972189359,0.08270676691729323
answer_mask,mask_shuffled,restore,source,133,133,0.002129346804511278,-8.811090225563909e-05,0.0044496005639097745,0.3609022556390977,-0.002418641813907869,0.17293233082706766
answer_mask,real_mask,restore,matched_control,133,133,0.0007269149436090226,-0.0010059328007518797,0.0023863369360902255,0.3082706766917293,-0.0009545159906751253,0.15789473684210525
answer_mask,real_mask,restore,source,133,133,0.002452420112781955,-0.0007709703947368421,0.0060948880991541325,0.42105263157894735,-0.0006293545818592042,0.2857142857142857
answer_mask,real_mask,zeroing,matched_control,133,133,0.0018062734962406015,-0.0030545112781954886,0.0065352590460526295,0.37593984962406013,0.02804387582610059,-0.022556390977443608
answer_mask,real_mask,zeroing,source,133,133,0.036287006578947366,0.02879684562969925,0.045098463933270674,1.0,-0.04056576423978229,0.45112781954887216
union_mask,mask_shifted,restore,matched_control,129,129,0.000991703003875969,-0.0001665455426356589,0.0021726623062015503,0.34108527131782945,0.00198817587503651,-0.05426356589147287
union_mask,mask_shifted,restore,source,129,129,0.002702579941860465,0.00040860434835271323,0.004973844779554263,0.3643410852713178,0.002475646032860736,0.2558139534883721
union_mask,mask_shuffled,restore,matched_control,129,129,0.00034823158914728684,-0.0008175872093023256,0.0015897529069767442,0.2558139534883721,-0.0032372521645197662,-0.17054263565891473
union_mask,mask_shuffled,restore,source,129,129,0.0012869428294573642,-0.0010749757751937984,0.0037404614825581354,0.35658914728682173,-0.004950616140793839,0.17054263565891473
union_mask,real_mask,restore,matched_control,129,129,0.00044664486434108525,-0.0013022725896317828,0.002051916787790696,0.3875968992248062,0.0009061529683188093,0.3178294573643411
union_mask,real_mask,restore,source,129,129,0.002672298934108527,-0.0008860979893410852,0.006276117369186044,0.4573643410852713,-0.0006888562816828502,0.8217054263565892
union_mask,real_mask,zeroing,matched_control,129,129,0.003376332364341085,-0.0005155341569767442,0.007782218992248062,0.3333333333333333,0.015490058907442376,0.03875968992248062
union_mask,real_mask,zeroing,source,129,129,0.03762415213178295,0.02917461543120155,0.04693631904069767,1.0,0.04451251128846038,0.4496124031007752
