position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
answer_adjacent_text,corrupt,activation_matched_topk,union_mask,144,144,0.017144097222222224,-0.010856119791666665,0.046446397569444416,0.375,-0.01622859134343508,-0.05555555555555555
answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.1996527777777778,-0.23004014756944444,-0.1697048611111111,0.034722222222222224,-0.04122029500572178,-6.222222222222222
answer_adjacent_text,corrupt,drop_matched_topk,union_mask,144,144,0.08203125,0.029286024305555557,0.141064453125,0.5763888888888888,0.07655938635187229,2.4652777777777777
answer_adjacent_text,corrupt,evidence_attribution_topk,union_mask,144,144,0.9180772569444444,0.8148844401041667,1.0330050998263889,0.9861111111111112,0.24798784438758198,36.826388888888886
answer_adjacent_text,corrupt,random_active_topk,union_mask,144,144,0.007378472222222222,-0.014105902777777778,0.027560763888888888,0.375,0.015429784335323965,0.5694444444444444
answer_adjacent_text,restore,activation_matched_topk,union_mask,144,144,0.009019639756944444,-0.02175937228732639,0.037964206271701384,0.3888888888888889,-0.0254924603250869,-41.666666666666664
answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.2516822814941406,-0.28324269188774953,-0.22024570041232644,0.027777777777777776,-0.0516655928973344,-269.72222222222223
answer_adjacent_text,restore,drop_matched_topk,union_mask,144,144,0.0782199435763889,0.018715752495659724,0.14170498318142358,0.5,0.06630710533426072,186.39583333333334
answer_adjacent_text,restore,evidence_attribution_topk,union_mask,144,144,1.1678466796875,1.0193339029947919,1.3263136121961805,0.9722222222222222,0.27579420963326173,781.2083333333334
answer_adjacent_text,restore,random_active_topk,union_mask,144,144,0.007554796006944444,-0.011813693576388888,0.02729051378038194,0.4097222222222222,0.016298249459381728,2.263888888888889
top_hidden_delta,corrupt,activation_matched_topk,union_mask,144,144,0.00010850694444444444,-0.005642361111111111,0.005642361111111111,0.1111111111111111,-0.0011643480175384687,0.2638888888888889
top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.0015190972222222222,-0.008029513888888888,0.004774305555555556,0.1111111111111111,-0.00733976197289449,0.0763888888888889
top_hidden_delta,corrupt,drop_matched_topk,union_mask,144,144,-0.0048828125,-0.01171875,0.0015218098958333186,0.11805555555555555,0.0004776322468945722,0.4930555555555556
top_hidden_delta,corrupt,evidence_attribution_topk,union_mask,144,144,-0.00390625,-0.010856119791666665,0.0032552083333333335,0.1111111111111111,-0.012055367892156266,-0.006944444444444444
top_hidden_delta,corrupt,random_active_topk,union_mask,144,144,-0.006510416666666667,-0.012586805555555556,-0.00042317708333339255,0.0625,-0.010269352359007259,0.006944444444444444
top_hidden_delta,restore,activation_matched_topk,union_mask,144,144,0.005099826388888889,-8.138020833333333e-05,0.010579427083333334,0.1527777777777778,0.006361638856345751,-0.006944444444444444
top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.002102322048611111,-0.0022654215494791667,0.006877305772569441,0.16666666666666666,0.0009601348278311471,0.8263888888888888
top_hidden_delta,restore,drop_matched_topk,union_mask,144,144,0.005927191840277778,0.0001349555121527778,0.012994384765624997,0.1388888888888889,0.004047023539671789,-4.506944444444445
top_hidden_delta,restore,evidence_attribution_topk,union_mask,144,144,0.0020345052083333335,-0.002998182508680556,0.0075015597873263834,0.14583333333333334,-8.959868228052111e-05,-4.027777777777778
top_hidden_delta,restore,random_active_topk,union_mask,144,144,-0.002373589409722222,-0.007351345486111111,0.002768961588541656,0.10416666666666667,-0.0024192487150845564,-1.375
top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,union_mask,144,144,0.04372829861111111,0.018334960937500002,0.07085774739583332,0.4236111111111111,0.020979404973567744,0.2638888888888889
top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.019748263888888888,-0.013460286458333333,0.053385416666666664,0.4236111111111111,-0.0013526226816675262,2.2430555555555554
top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,union_mask,144,144,0.0006510416666666666,-0.028656684027777775,0.028868272569444416,0.3402777777777778,0.02682117930338212,1.8541666666666667
top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,union_mask,144,144,0.2801649305555556,0.19074978298611112,0.39000651041666645,0.6736111111111112,0.11871448219417144,4.326388888888889
top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,union_mask,144,144,0.012152777777777778,-0.006081814236111111,0.029947916666666668,0.3333333333333333,0.008814546130556818,0.9027777777777778
top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,union_mask,144,144,0.0506591796875,0.024298095703125,0.08170912000868054,0.4652777777777778,0.01006609356873571,-2.875
top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.035929361979166664,-0.006511094835069444,0.07929178873697916,0.4583333333333333,0.003609926357597134,116.32638888888889
top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,union_mask,144,144,-0.013373480902777778,-0.051324462890625,0.01929389105902774,0.3819444444444444,0.01510895485905914,23.02777777777778
top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,union_mask,144,144,0.4406873914930556,0.3045433892144097,0.5934166802300347,0.6666666666666666,0.15232846526997754,405.7291666666667
top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,union_mask,144,144,0.0078125,-0.00965847439236111,0.02650349934895833,0.3611111111111111,-0.010148751862439256,-10.055555555555555
