comparison,mask_condition,mask_variant,intervention,n,mean,ci_low,ci_high,positive_frac
source_minus_control,answer_mask,mask_shifted,restore,122,0.005763319672131148,-0.008584144467213116,0.020876024590163935,0.22950819672131148
source_minus_control,answer_mask,mask_shuffled,restore,122,0.009181288422131147,-0.005972840356045082,0.023037269467213115,0.27049180327868855
source_minus_control,answer_mask,real_mask,restore,122,0.03354732325819672,0.00946625256147541,0.06165651415215161,0.4098360655737705
source_minus_control,answer_mask,real_mask,zeroing,122,0.18570696721311475,0.15881147540983606,0.21517033811475406,0.9344262295081968
source_minus_control,union_mask,mask_shifted,restore,120,0.004557291666666667,-0.007682291666666666,0.016666666666666666,0.20833333333333334
source_minus_control,union_mask,mask_shuffled,restore,120,0.0054931640625,-0.0069671630859375,0.016848144531249987,0.225
source_minus_control,union_mask,real_mask,restore,120,0.019482421875,-0.0053397623697916665,0.04765747070312499,0.3416666666666667
source_minus_control,union_mask,real_mask,zeroing,120,0.20481770833333332,0.16158528645833334,0.2613411458333333,0.9333333333333333
source_control_real_minus_mask_shifted,answer_mask,real_vs_mask_shifted,restore,122,0.027784003586065573,0.0036402968109631147,0.0560242699795082,0.4180327868852459
source_control_real_minus_mask_shifted,union_mask,real_vs_mask_shifted,restore,120,0.014925130208333333,-0.0097021484375,0.04450276692708331,0.3333333333333333
source_control_real_minus_mask_shuffled,answer_mask,real_vs_mask_shuffled,restore,122,0.024366034836065573,-0.0003554047131147539,0.05267113857581967,0.39344262295081966
source_control_real_minus_mask_shuffled,union_mask,real_vs_mask_shuffled,restore,120,0.0139892578125,-0.010515950520833334,0.041585896809895787,0.3333333333333333
