mask_condition,mask_variant,intervention,feature_role,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_clean_mask_logit_gap,mean_effect_rank
answer_mask,mask_shuffled,restore,matched_control,121,121,-0.007747933884297521,-0.015495867768595042,-0.0010330578512396695,0.06611570247933884,0.003321601752644927,3.148578738378099,-0.45454545454545453
answer_mask,mask_shuffled,restore,source,121,121,-0.010717975206611571,-0.0201510847107438,-0.0018078512396694215,0.10743801652892562,0.0048881722545376415,3.148578738378099,0.2892561983471074
answer_mask,real_mask,restore,matched_control,121,121,0.009628422004132232,-2.5221138946280935e-05,0.020879269434400823,0.19834710743801653,0.013640053790512767,3.148578738378099,30.462809917355372
answer_mask,real_mask,restore,source,121,121,0.04538997933884298,0.02107962616219008,0.07433698669938013,0.4462809917355372,0.01828931569786465,3.148578738378099,58.03305785123967
answer_mask,real_mask,zeroing,matched_control,121,121,-0.028667355371900828,-0.05165289256198347,-0.007218491735537261,0.17355371900826447,0.01821517367267066,3.148578738378099,4.239669421487603
answer_mask,real_mask,zeroing,source,121,121,0.15625,0.13687370867768595,0.17924199380165284,1.0,-0.00923641778768656,3.148578738378099,2.6611570247933884
union_mask,mask_shuffled,restore,matched_control,120,120,0.002864583333333333,-0.005208333333333333,0.010677083333333334,0.175,-0.004449374393113662,3.053694661458333,-0.03333333333333333
union_mask,mask_shuffled,restore,source,120,120,-0.008984375,-0.018489583333333334,0.00026041666666666666,0.14166666666666666,0.0038839051694025658,3.053694661458333,-0.325
union_mask,real_mask,restore,matched_control,120,120,0.018815104166666666,0.0062825520833333336,0.031412760416666664,0.35,0.006875404750547833,3.053694661458333,28.275
union_mask,real_mask,restore,source,120,120,0.04090169270833333,0.017529296875,0.068685302734375,0.4,0.009257877829618935,3.053694661458333,20.55
union_mask,real_mask,zeroing,matched_control,120,120,-0.044921875,-0.09859049479166666,-0.008069661458333353,0.175,-0.050311911653507416,3.053694661458333,-0.4
union_mask,real_mask,zeroing,source,120,120,0.15390625,0.13514973958333334,0.17578776041666663,1.0,0.009403514797768327,3.053694661458333,3.85
