asset_id,top_k,direction,pair_count,mean_source_sequence_effect,mean_control_sequence_effect,mean_source_minus_control_sequence,ci95_low_sequence,ci95_high_sequence,positive_sequence_count,mean_source_minus_control_first_token,ci95_low_first_token,ci95_high_first_token,positive_first_token_count,mean_source_minus_control_first_rank,positive_first_rank_count,source_decoded_to_clean_count,control_decoded_to_clean_count
qwen2p5vl_clt,1,corrupt,4,-0.060827016830444336,0.012838095426559448,-0.07366511225700378,-0.20529046654701233,0.037183523178100586,1,0.09765625,-0.015625,0.32421875,1,-0.0625,0,4,15
qwen2p5vl_clt,1,restore,4,0.14208543300628662,0.0254824161529541,0.11660301685333252,0.083740234375,0.17432308197021484,4,0.12890625,-0.01171875,0.33984375,3,63.0625,3,0,0
qwen2p5vl_clt,4,corrupt,4,-0.16226649284362793,-0.02290785312652588,-0.13935863971710205,-0.43475520610809326,0.07763075828552246,1,0.1875,-0.15625,0.7890625,1,-0.0625,0,3,15
qwen2p5vl_clt,4,restore,4,0.12344396114349365,0.018412023782730103,0.10503193736076355,0.022324562072753906,0.22905674576759338,4,0.26171875,-0.0625,0.822265625,2,-5.0,3,0,0
qwen2p5vl_clt,8,corrupt,4,-0.11825382709503174,-0.028782397508621216,-0.08947142958641052,-0.21986979246139526,0.04092693328857422,2,0.35546875,-0.0546875,1.16015625,1,0.125,1,3,14
qwen2p5vl_clt,8,restore,4,0.21358370780944824,-0.009328663349151611,0.22291237115859985,-0.05443906784057617,0.5296472907066345,3,0.439453125,0.076171875,1.1484375,4,165.4375,4,0,0
qwen2p5vl_clt,16,corrupt,4,-0.1679748296737671,0.0137614905834198,-0.1817363202571869,-0.37871482968330383,0.012195348739624023,1,0.53125,0.0234375,1.4140625,4,0.0625,1,3,13
qwen2p5vl_clt,16,restore,4,0.17074573040008545,-0.0023829638957977295,0.17312869429588318,-0.08373785018920898,0.43595996499061584,3,0.830078125,0.24609375,1.568359375,4,540.1875,3,0,0
qwen2p5vl_clt,32,corrupt,4,-0.24333763122558594,-0.11023065447807312,-0.13310697674751282,-0.34877902269363403,0.0825650691986084,2,0.7109375,0.0,2.0859375,2,0.0,1,3,12
qwen2p5vl_clt,32,restore,4,0.4125446081161499,0.0004941225051879883,0.4120504856109619,0.029158949851989746,0.6366357803344727,3,1.30078125,0.681640625,2.173828125,4,1121.1875,4,0,0
qwen2p5vl_plt,1,corrupt,3,0.05755170186360677,0.05028947194417318,0.007262229919433594,-0.06101369857788086,0.04609537124633789,2,-0.03125,-0.078125,0.0,0,0.0,0,3,12
qwen2p5vl_plt,1,restore,3,0.011296590169270834,0.00714413324991862,0.004152456919352214,-0.06134176254272461,0.03781461715698242,2,0.036458333333333336,0.015625,0.0625,3,22.916666666666668,2,0,0
qwen2p5vl_plt,4,corrupt,3,0.03674443562825521,0.05301618576049805,-0.01627175013224284,-0.041579246520996094,0.024291515350341797,1,-0.036458333333333336,-0.078125,0.0,0,0.0,0,3,12
qwen2p5vl_plt,4,restore,3,-0.022180557250976562,0.018422603607177734,-0.0406031608581543,-0.048680782318115234,-0.028289794921875,0,0.0546875,-0.0078125,0.125,2,40.916666666666664,3,0,0
qwen2p5vl_plt,8,corrupt,3,-0.024834314982096355,0.06290006637573242,-0.08773438135782878,-0.20879030227661133,0.02497100830078125,1,0.046875,-0.03125,0.125,2,0.0,0,2,12
qwen2p5vl_plt,8,restore,3,-0.019240697224934895,0.022157986958821613,-0.04139868418375651,-0.09369421005249023,-0.013297080993652344,0,0.09895833333333333,0.0703125,0.1328125,3,47.833333333333336,2,0,0
qwen2p5vl_plt,16,corrupt,3,-0.26468467712402344,0.0701136589050293,-0.33479833602905273,-0.47457456588745117,-0.1533374786376953,0,0.07291666666666667,-0.015625,0.15625,2,0.0,0,3,12
qwen2p5vl_plt,16,restore,3,0.04079627990722656,0.041655381520589195,-0.0008591016133626302,-0.06265783309936523,0.057915687561035156,2,0.11458333333333333,0.1015625,0.125,3,100.75,3,0,0
qwen2p5vl_plt,32,corrupt,3,-0.4620196024576823,0.13083410263061523,-0.5928537050882975,-0.8334355354309082,-0.23414373397827148,0,0.17708333333333334,-0.015625,0.296875,2,0.0,0,2,10
qwen2p5vl_plt,32,restore,3,0.0355828603108724,0.11602290471394856,-0.08044004440307617,-0.16110706329345703,0.05808830261230469,1,0.1640625,-0.015625,0.375,2,75.91666666666667,2,0,0
