sample_id,image_filename,condition,mask_path,seed,actual_iou_with_union,valid_iou_le_0p10,area_px,reference_union_area_px
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_01,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_01.png,2354032590,0.694705,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_02,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_02.png,340952732,0.688977,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_03,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_03.png,2849275599,0.690154,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_04,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_04.png,2912139257,0.739939,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_05,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_05.png,2277914856,0.702793,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_06,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_06.png,1972737220,0.716976,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_07,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_07.png,483916146,0.70168,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_08,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_08.png,4193319096,0.699369,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_09,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_09.png,856428720,0.712085,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_10,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_10.png,2831044397,0.690154,0,213360,213360
okvqa_val_1839495,COCO_val2014_000000183949.jpg,random_control_11,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949\random16\random_control_11.png,2657459555,0.732627,0,213360,213360
