stage,metric,pack,layer,direction,position_group,mask_condition,scale,top_k,n,prompt_runs,main_rows,zeroing_rows,group_rows,mean,ci95_low,ci95_high,positive_frac,rank_mean
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,answer_adjacent,answer_mask,1.0,,96,96,,,,-0.0006510416666666666,-0.10807291666666667,0.11458333333333333,0.4166666666666667,-0.041666666666666664
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,answer_adjacent,shifted_mask,1.0,,96,96,,,,0.07486979166666667,-0.02734375,0.173828125,0.5520833333333334,-0.03125
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,answer_adjacent,shuffled_mask,1.0,,96,96,,,,0.011067708333333334,-0.08528645833333333,0.12044270833333333,0.4583333333333333,0.020833333333333332
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,answer_adjacent,union_mask,1.0,,96,96,,,,0.024088541666666668,-0.09505208333333333,0.146484375,0.4583333333333333,0.020833333333333332
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,top_hidden_delta,answer_mask,1.0,,96,96,,,,0.12239583333333333,-0.029296875,0.2721354166666667,0.5208333333333334,1.3125
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,top_hidden_delta,shifted_mask,1.0,,96,96,,,,-0.048828125,-0.177734375,0.087890625,0.4270833333333333,0.0
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,-0.009765625,-0.13541666666666666,0.11848958333333333,0.4270833333333333,-0.08333333333333333
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,top_hidden_delta,union_mask,1.0,,96,96,,,,0.0026041666666666665,-0.142578125,0.14192708333333334,0.4895833333333333,0.28125
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,visual+answer,answer_mask,1.0,,96,96,,,,4.143269856770833,3.4143880208333335,4.843017578125,0.8854166666666666,855.46875
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,visual+answer,shifted_mask,1.0,,96,96,,,,1.5872395833333333,1.1083984375,2.0826822916666665,0.65625,40.864583333333336
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,visual+answer,shuffled_mask,1.0,,96,96,,,,1.4664713541666667,0.9947916666666666,1.9554036458333333,0.6875,37.96875
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,visual+answer,union_mask,1.0,,96,96,,,,3.8766581217447915,3.189483642578125,4.55474853515625,0.90625,516.3645833333334
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,visual_span,answer_mask,1.0,,96,96,,,,4.147420247395833,3.4268798828125,4.847574869791667,0.8854166666666666,852.375
