record_type,source,pack,group,rows,prompt_runs,main_rows,mean_evidence_specificity,mean_target_contribution,mean_score
candidate_manifest,evidence_first,primary,all,384,96,192,52.14196523030599,0.021239554652614363,3.559287523591049
candidate_manifest,evidence_first,primary,non_numeric,328,82,164,56.16034382145579,0.02122116988672443,4.018608537357344
candidate_manifest,evidence_first,primary,numeric,56,14,28,28.605747767857142,0.021347236852826818,0.8689787286741774
candidate_manifest,evidence_first,strict,all,404,101,202,53.7481798228651,0.020713752550580125,3.5770234186697185
candidate_manifest,evidence_first,strict,non_numeric,364,91,182,56.26570816878434,0.020637204701715445,3.8718625719568602
candidate_manifest,evidence_first,strict,numeric,40,10,20,30.838671875,0.021410337975248696,0.8939871237567297
candidate_manifest,adapter_v3,primary,all,58,16,32,64.74137931034483,0.03446816730088201,0.021572563647280153
candidate_manifest,adapter_v3,primary,non_numeric,46,12,24,67.43478260869566,0.034888836352721504,0.022974029805020505
candidate_manifest,adapter_v3,primary,numeric,12,4,8,54.416666666666664,0.03285560260216395,0.01620027670927546
candidate_manifest,adapter_v3,strict,all,62,17,34,65.11290322580645,0.03407244576561835,0.02146283343442033
candidate_manifest,adapter_v3,strict,non_numeric,50,13,26,67.68,0.03436448812484741,0.022725847048455098
candidate_manifest,adapter_v3,strict,numeric,12,4,8,54.416666666666664,0.03285560260216395,0.01620027670927546
