record_type,analysis_group,mask_condition,control_group,top_k,rows,prompt_runs,mean_value,ci95_low,ci95_high,positive_frac
activation_drop,non_numeric,answer_mask,random_active_feature_control,1,5,5,2.2375,0.815625,3.853125,1.0
activation_drop,non_numeric,answer_mask,random_active_feature_control,16,5,5,13.121875,0.40625,36.1375,0.8
activation_drop,non_numeric,answer_mask,random_active_feature_control,4,5,5,5.64375,0.40625,13.703125,0.8
activation_drop,non_numeric,answer_mask,random_active_feature_control,8,5,5,11.721875,0.40625,31.9375,0.8
activation_drop,non_numeric,answer_mask,same_feature_random_position_control,1,5,5,34.9,14.4,53.8,0.8
activation_drop,non_numeric,answer_mask,same_feature_random_position_control,16,5,5,77.4,39.7,124.3,1.0
activation_drop,non_numeric,answer_mask,same_feature_random_position_control,4,5,5,51.3,34.4,70.4,1.0
activation_drop,non_numeric,answer_mask,same_feature_random_position_control,8,5,5,72.6,39.7,109.9,1.0
activation_drop,non_numeric,answer_mask,same_position_matched_feature_control,1,5,5,10.0,2.1,19.7,1.0
activation_drop,non_numeric,answer_mask,same_position_matched_feature_control,16,5,5,37.0,7.7,82.8,1.0
activation_drop,non_numeric,answer_mask,same_position_matched_feature_control,4,5,5,17.9,7.7,28.7,1.0
activation_drop,non_numeric,answer_mask,same_position_matched_feature_control,8,5,5,34.6,7.7,75.6,1.0
activation_drop,non_numeric,answer_mask,source,1,5,5,16.7,-5.2,47.3,0.6
activation_drop,non_numeric,answer_mask,source,16,5,5,62.3,11.5,130.9,0.8
activation_drop,non_numeric,answer_mask,source,4,5,5,39.0,11.5,66.8,0.8
activation_drop,non_numeric,answer_mask,source,8,5,5,60.3,11.5,124.9,0.8
activation_drop,non_numeric,shifted_mask,random_active_feature_control,1,5,5,7.4408203125,2.4671875,13.4037109375,1.0
activation_drop,non_numeric,shifted_mask,random_active_feature_control,16,5,5,18.8955078125,3.1375,41.3427734375,1.0
activation_drop,non_numeric,shifted_mask,random_active_feature_control,4,5,5,14.2095703125,3.1375,27.2849609375,1.0
activation_drop,non_numeric,shifted_mask,random_active_feature_control,8,5,5,16.3205078125,3.1375,33.6177734375,1.0
activation_drop,non_numeric,shifted_mask,same_feature_random_position_control,1,5,5,36.2,8.2,63.6,0.6
activation_drop,non_numeric,shifted_mask,same_feature_random_position_control,16,5,5,101.6,33.4,182.4,0.8
activation_drop,non_numeric,shifted_mask,same_feature_random_position_control,4,5,5,72.2,32.2,111.8,0.8
activation_drop,non_numeric,shifted_mask,same_feature_random_position_control,8,5,5,81.6,33.4,131.0,0.8
activation_drop,non_numeric,shifted_mask,same_position_matched_feature_control,1,5,5,20.5,6.4,35.9,1.0
activation_drop,non_numeric,shifted_mask,same_position_matched_feature_control,16,5,5,11.1,-8.3,29.5,0.8
activation_drop,non_numeric,shifted_mask,same_position_matched_feature_control,4,5,5,10.4,-8.3,29.4,0.8
activation_drop,non_numeric,shifted_mask,same_position_matched_feature_control,8,5,5,6.9,-8.4,20.9,0.8
activation_drop,non_numeric,shifted_mask,source,1,5,5,35.9,0.8,72.5,0.8
activation_drop,non_numeric,shifted_mask,source,16,5,5,52.5,2.2,110.7,0.8
activation_drop,non_numeric,shifted_mask,source,4,5,5,35.7,2.0,69.2,0.8
activation_drop,non_numeric,shifted_mask,source,8,5,5,45.1,2.2,89.8,0.8
activation_drop,non_numeric,shuffled_mask,random_active_feature_control,1,5,5,7.771875,2.984375,13.3875,1.0
activation_drop,non_numeric,shuffled_mask,random_active_feature_control,16,5,5,21.178125,6.384375,45.009375,1.0
activation_drop,non_numeric,shuffled_mask,random_active_feature_control,4,5,5,15.828125,6.384375,28.959375,1.0
activation_drop,non_numeric,shuffled_mask,random_active_feature_control,8,5,5,21.484375,6.384375,45.928125,1.0
activation_drop,non_numeric,shuffled_mask,same_feature_random_position_control,1,5,5,11.9,-7.0,38.1,0.6
activation_drop,non_numeric,shuffled_mask,same_feature_random_position_control,16,5,5,65.3,12.0,146.7,0.8
activation_drop,non_numeric,shuffled_mask,same_feature_random_position_control,4,5,5,43.0,12.0,79.8,0.8
activation_drop,non_numeric,shuffled_mask,same_feature_random_position_control,8,5,5,47.8,12.0,94.2,0.8
activation_drop,non_numeric,shuffled_mask,same_position_matched_feature_control,1,5,5,13.7,0.2,33.5,0.8
activation_drop,non_numeric,shuffled_mask,same_position_matched_feature_control,16,5,5,25.8,1.9,56.1,0.8
activation_drop,non_numeric,shuffled_mask,same_position_matched_feature_control,4,5,5,19.0,1.9,36.9,0.8
activation_drop,non_numeric,shuffled_mask,same_position_matched_feature_control,8,5,5,20.0,1.9,38.7,0.8
activation_drop,non_numeric,shuffled_mask,source,1,5,5,23.3,1.6,51.9,0.8
activation_drop,non_numeric,shuffled_mask,source,16,5,5,65.7,24.6,113.1,1.0
activation_drop,non_numeric,shuffled_mask,source,4,5,5,52.7,24.6,79.0,1.0
activation_drop,non_numeric,shuffled_mask,source,8,5,5,57.5,24.6,90.3,1.0
activation_drop,non_numeric,union_mask,random_active_feature_control,1,5,5,3.040234375,0.5375,6.795703125,1.0
activation_drop,non_numeric,union_mask,random_active_feature_control,16,5,5,21.321484375,2.6625,50.802734375,1.0
activation_drop,non_numeric,union_mask,random_active_feature_control,4,5,5,11.262109375,2.6625,20.624609375,1.0
activation_drop,non_numeric,union_mask,random_active_feature_control,8,5,5,17.096484375,2.6625,38.127734375,1.0
activation_drop,non_numeric,union_mask,same_feature_random_position_control,1,5,5,30.4,10.8,55.0,0.8
activation_drop,non_numeric,union_mask,same_feature_random_position_control,16,5,5,95.4,29.0,192.0,1.0
activation_drop,non_numeric,union_mask,same_feature_random_position_control,4,5,5,54.4,29.0,78.0,1.0
activation_drop,non_numeric,union_mask,same_feature_random_position_control,8,5,5,73.0,29.0,124.8,1.0
activation_drop,non_numeric,union_mask,same_position_matched_feature_control,1,5,5,13.7,8.0,20.8,1.0
activation_drop,non_numeric,union_mask,same_position_matched_feature_control,16,5,5,39.1,15.3,80.4,1.0
activation_drop,non_numeric,union_mask,same_position_matched_feature_control,4,5,5,21.3,13.3,27.2,1.0
activation_drop,non_numeric,union_mask,same_position_matched_feature_control,8,5,5,31.3,15.3,57.0,1.0
activation_drop,non_numeric,union_mask,source,1,5,5,16.1,-5.0,43.3,0.6
activation_drop,non_numeric,union_mask,source,16,5,5,76.7,30.6,143.6,0.8
