record_type,analysis_group,mask_condition,control_group,top_k,rows,prompt_runs,mean_value,ci95_low,ci95_high,positive_frac
activation_drop,non_numeric,answer_mask,random_active_feature_control,1,10,10,3.6796875,2.2171875,5.215625,0.9
activation_drop,non_numeric,answer_mask,random_active_feature_control,16,10,10,9.4328125,4.6796875,14.771875,1.0
activation_drop,non_numeric,answer_mask,random_active_feature_control,4,10,10,8.7015625,4.6796875,12.93125,1.0
activation_drop,non_numeric,answer_mask,random_active_feature_control,8,10,10,8.778125,4.6796875,13.1484375,1.0
activation_drop,non_numeric,answer_mask,same_feature_random_position_control,1,10,10,39.7,23.7,55.35,0.8
activation_drop,non_numeric,answer_mask,same_feature_random_position_control,16,10,10,76.6,43.55,114.35,1.0
activation_drop,non_numeric,answer_mask,same_feature_random_position_control,4,10,10,63.55,39.0,97.85,1.0
activation_drop,non_numeric,answer_mask,same_feature_random_position_control,8,10,10,74.2,43.55,110.6,1.0
activation_drop,non_numeric,answer_mask,same_position_matched_feature_control,1,10,10,11.6,6.25,17.3,1.0
activation_drop,non_numeric,answer_mask,same_position_matched_feature_control,16,10,10,21.9,4.35,49.45,0.9
activation_drop,non_numeric,answer_mask,same_position_matched_feature_control,4,10,10,12.35,3.75,20.75,0.9
activation_drop,non_numeric,answer_mask,same_position_matched_feature_control,8,10,10,20.7,4.35,45.85,0.9
activation_drop,non_numeric,answer_mask,source,1,10,10,19.05,3.2,36.85,0.6
activation_drop,non_numeric,answer_mask,source,16,10,10,44.75,16.2,84.2,0.8
activation_drop,non_numeric,answer_mask,source,4,10,10,33.1,16.05,50.75,0.8
activation_drop,non_numeric,answer_mask,source,8,10,10,43.75,16.2,80.95,0.8
activation_drop,non_numeric,shifted_mask,random_active_feature_control,1,10,10,3.755859375,1.121875,6.696875,0.8
activation_drop,non_numeric,shifted_mask,random_active_feature_control,16,10,10,11.640625,3.90859375,19.798828125,0.8
activation_drop,non_numeric,shifted_mask,random_active_feature_control,4,10,10,12.15,4.019140625,20.653515625,0.8
activation_drop,non_numeric,shifted_mask,random_active_feature_control,8,10,10,11.3484375,3.838671875,19.28046875,0.8
activation_drop,non_numeric,shifted_mask,same_feature_random_position_control,1,10,10,38.45,21.3,55.75,0.8
activation_drop,non_numeric,shifted_mask,same_feature_random_position_control,16,10,10,89.3,41.8,143.2,0.9
activation_drop,non_numeric,shifted_mask,same_feature_random_position_control,4,10,10,74.6,39.9,114.2,0.9
activation_drop,non_numeric,shifted_mask,same_feature_random_position_control,8,10,10,79.3,40.9,120.9,0.9
activation_drop,non_numeric,shifted_mask,same_position_matched_feature_control,1,10,10,15.65,6.5,26.35,0.9
activation_drop,non_numeric,shifted_mask,same_position_matched_feature_control,16,10,10,10.15,-0.75,21.75,0.8
activation_drop,non_numeric,shifted_mask,same_position_matched_feature_control,4,10,10,9.8,-0.8,20.9,0.8
activation_drop,non_numeric,shifted_mask,same_position_matched_feature_control,8,10,10,8.05,-1.6,17.15,0.8
activation_drop,non_numeric,shifted_mask,source,1,10,10,21.95,1.9,46.0,0.6
activation_drop,non_numeric,shifted_mask,source,16,10,10,40.45,9.55,75.15,0.7
activation_drop,non_numeric,shifted_mask,source,4,10,10,32.05,8.7,54.55,0.7
activation_drop,non_numeric,shifted_mask,source,8,10,10,36.75,9.4,66.3,0.7
activation_drop,non_numeric,shuffled_mask,random_active_feature_control,1,10,10,2.552734375,-0.1515625,5.24765625,0.7
activation_drop,non_numeric,shuffled_mask,random_active_feature_control,16,10,10,10.562109375,3.284375,17.928125,0.7
activation_drop,non_numeric,shuffled_mask,random_active_feature_control,4,10,10,10.002734375,3.22109375,17.001953125,0.7
activation_drop,non_numeric,shuffled_mask,random_active_feature_control,8,10,10,10.316796875,3.25625,17.346484375,0.7
activation_drop,non_numeric,shuffled_mask,same_feature_random_position_control,1,10,10,17.35,5.2,30.75,0.8
activation_drop,non_numeric,shuffled_mask,same_feature_random_position_control,16,10,10,59.15,23.05,106.25,0.9
activation_drop,non_numeric,shuffled_mask,same_feature_random_position_control,4,10,10,48.0,22.8,77.4,0.9
activation_drop,non_numeric,shuffled_mask,same_feature_random_position_control,8,10,10,50.4,23.05,82.25,0.9
activation_drop,non_numeric,shuffled_mask,same_position_matched_feature_control,1,10,10,11.55,2.6,23.3,0.7
activation_drop,non_numeric,shuffled_mask,same_position_matched_feature_control,16,10,10,17.55,4.25,35.15,0.7
activation_drop,non_numeric,shuffled_mask,same_position_matched_feature_control,4,10,10,14.15,4.25,25.2,0.7
activation_drop,non_numeric,shuffled_mask,same_position_matched_feature_control,8,10,10,14.65,4.25,26.6,0.7
activation_drop,non_numeric,shuffled_mask,source,1,10,10,14.45,1.0,31.55,0.5
activation_drop,non_numeric,shuffled_mask,source,16,10,10,46.45,18.1,78.65,0.7
activation_drop,non_numeric,shuffled_mask,source,4,10,10,39.95,16.35,63.05,0.7
activation_drop,non_numeric,shuffled_mask,source,8,10,10,42.35,17.65,67.55,0.7
activation_drop,non_numeric,union_mask,random_active_feature_control,1,10,10,4.565625,3.31875,5.8625,1.0
activation_drop,non_numeric,union_mask,random_active_feature_control,16,10,10,14.215625,7.490625,22.896875,1.0
activation_drop,non_numeric,union_mask,random_active_feature_control,4,10,10,12.009375,7.334375,16.565625,1.0
activation_drop,non_numeric,union_mask,random_active_feature_control,8,10,10,12.9765625,7.45,19.2015625,1.0
activation_drop,non_numeric,union_mask,same_feature_random_position_control,1,10,10,44.15,27.65,59.7,0.9
activation_drop,non_numeric,union_mask,same_feature_random_position_control,16,10,10,96.85,50.75,152.25,1.0
activation_drop,non_numeric,union_mask,same_feature_random_position_control,4,10,10,76.35,47.65,114.2,1.0
activation_drop,non_numeric,union_mask,same_feature_random_position_control,8,10,10,85.65,50.75,126.95,1.0
activation_drop,non_numeric,union_mask,same_position_matched_feature_control,1,10,10,15.15,9.2,21.85,1.0
activation_drop,non_numeric,union_mask,same_position_matched_feature_control,16,10,10,33.15,16.85,55.65,1.0
activation_drop,non_numeric,union_mask,same_position_matched_feature_control,4,10,10,24.25,15.95,32.85,1.0
activation_drop,non_numeric,union_mask,same_position_matched_feature_control,8,10,10,29.25,16.8,43.85,1.0
activation_drop,non_numeric,union_mask,source,1,10,10,20.05,5.1,36.65,0.6
activation_drop,non_numeric,union_mask,source,16,10,10,67.05,33.3,104.85,0.8
activation_drop,non_numeric,union_mask,source,4,10,10,55.05,31.5,77.55,0.8
activation_drop,non_numeric,union_mask,source,8,10,10,64.35,33.3,97.35,0.8
activation_drop,numeric,answer_mask,random_active_feature_control,1,9,9,0.5451388888888888,-5.472222222222222,6.715277777777778,0.4444444444444444
activation_drop,numeric,answer_mask,random_active_feature_control,16,9,9,2.7395833333333335,-4.746527777777778,10.395833333333334,0.5555555555555556
activation_drop,numeric,answer_mask,random_active_feature_control,4,9,9,2.7395833333333335,-4.746527777777778,10.395833333333334,0.5555555555555556
activation_drop,numeric,answer_mask,random_active_feature_control,8,9,9,2.7395833333333335,-4.746527777777778,10.395833333333334,0.5555555555555556
activation_drop,numeric,answer_mask,same_feature_random_position_control,1,9,9,2.0477430555555554,0.7916666666666666,3.357638888888889,0.5555555555555556
activation_drop,numeric,answer_mask,same_feature_random_position_control,16,9,9,18.11545138888889,8.78298611111111,27.39409722222222,1.0
activation_drop,numeric,answer_mask,same_feature_random_position_control,4,9,9,18.11545138888889,8.78298611111111,27.39409722222222,1.0
activation_drop,numeric,answer_mask,same_feature_random_position_control,8,9,9,18.11545138888889,8.78298611111111,27.39409722222222,1.0
activation_drop,numeric,answer_mask,same_position_matched_feature_control,1,9,9,-1.8194444444444444,-8.51388888888889,5.416666666666667,0.4444444444444444
activation_drop,numeric,answer_mask,same_position_matched_feature_control,16,9,9,-0.6527777777777778,-14.63888888888889,13.402777777777779,0.4444444444444444
activation_drop,numeric,answer_mask,same_position_matched_feature_control,4,9,9,-0.6527777777777778,-14.63888888888889,13.402777777777779,0.4444444444444444
activation_drop,numeric,answer_mask,same_position_matched_feature_control,8,9,9,-0.6527777777777778,-14.63888888888889,13.402777777777779,0.4444444444444444
activation_drop,numeric,answer_mask,source,1,9,9,-2.861111111111111,-8.527777777777779,2.3055555555555554,0.4444444444444444
