asset,feature_prompt_runs,feature_rows,layer,mode,pack,source_prompt_runs,source_rows,topk
llava_clt,6,180,0,smoke,primary,2,24,1
llava_clt,6,180,0,smoke,primary,6,96,32
llava_clt,6,180,0,smoke,primary,6,96,8
llava_clt,6,180,12,smoke,primary,6,96,1
llava_clt,6,180,12,smoke,primary,6,96,32
llava_clt,6,180,12,smoke,primary,6,96,8
llava_clt,6,180,15,smoke,primary,2,32,1
llava_clt,6,180,15,smoke,primary,6,96,32
llava_clt,6,180,15,smoke,primary,6,96,8
llava_clt,6,180,18,smoke,primary,3,48,1
llava_clt,6,180,18,smoke,primary,6,96,32
llava_clt,6,180,18,smoke,primary,6,96,8
llava_clt,6,180,21,smoke,primary,2,24,1
llava_clt,6,180,21,smoke,primary,6,96,32
llava_clt,6,180,21,smoke,primary,6,96,8
llava_clt,6,180,30,smoke,primary,6,96,1
llava_clt,6,180,30,smoke,primary,6,96,32
llava_clt,6,180,30,smoke,primary,6,96,8
