pack,run,topk,n,path_mass_retention_mean,positive_path_mass_frac_mean,signed_path_mass_balance_mean,leave_one_top_edge_mass_frac_mean,layer_span_mean
primary,A,1,71,0.13466191169964978,0.49295774647887325,1.0,1.0,13.169014084507042
primary,A,2,71,0.2388555676147537,0.4889551413292079,0.5343852562205361,0.5605511518838616,18.901408450704224
primary,A,4,71,0.401294966523932,0.5254311110435748,0.41877272805967053,0.3325384270529858,24.718309859154928
primary,A,8,71,0.6433113926390233,0.5379653748089005,0.36275085158236453,0.20754826912307048,29.746478873239436
primary,A,16,71,0.9080523498915218,0.5641173642661511,0.2983791859958969,0.14798176771157995,34.12676056338028
primary,A,32,71,0.9758648484416997,0.5769653251705291,0.27982312121855313,0.1380374965406817,35.53521126760563
primary,B,1,71,0.13047549014420207,0.5352112676056338,1.0,1.0,12.43661971830986
primary,B,2,71,0.23468304080465155,0.5580916861777238,0.5286646939910397,0.5523345699816871,17.52112676056338
primary,B,4,71,0.3975774158321692,0.5370874556860072,0.4022398869534582,0.3252345133724783,21.633802816901408
primary,B,8,71,0.6390056904820981,0.5400698945768929,0.3694104656883388,0.2024431232463234,27.732394366197184
primary,B,16,71,0.900674146351055,0.5781696892895257,0.31943326205947475,0.14456328571193408,34.40845070422535
primary,B,32,71,0.971886753410363,0.5904399789237912,0.3011956310624031,0.1342552109926578,35.816901408450704
strict,A,1,71,0.13484438514944308,0.49295774647887325,1.0,1.0,13.126760563380282
strict,A,2,71,0.2388243759115545,0.48925623596593515,0.5602497825272732,0.5614311982764463,18.197183098591548
strict,A,4,71,0.40086064949751316,0.5223603022296444,0.4427892180582165,0.3332671198634695,24.323943661971832
strict,A,8,71,0.6435742925836726,0.541654961016318,0.3674548849533986,0.20775446604802533,29.690140845070424
strict,A,16,71,0.9095190921859779,0.572220173143925,0.29845257195100194,0.14797175774801247,34.12676056338028
strict,A,32,71,0.9765470812888962,0.5845249117240768,0.2819190210190981,0.1381402782221731,35.53521126760563
strict,B,1,71,0.13072065714528366,0.5352112676056338,1.0,1.0,12.366197183098592
strict,B,2,71,0.23439541501305067,0.5584005107725728,0.5557581801607857,0.5540368210346671,16.830985915492956
strict,B,4,71,0.39624931670310126,0.5586116990924213,0.41012033675301596,0.3269161981268364,20.91549295774648
strict,B,8,71,0.637566355912075,0.5579822385439712,0.3695482010699271,0.20327809276225448,27.408450704225352
strict,B,16,71,0.900384949043497,0.5940065434742968,0.32982865629550895,0.14488376256364505,34.28169014084507
strict,B,32,71,0.9719138755648822,0.6046376029481554,0.31466376759404646,0.13450163196039108,35.816901408450704
