bucket,count,node_overlap_jaccard,edge_overlap_jaccard,a_target_top3_concentration,b_target_top3_concentration,delta_target_top3_concentration,a_target_error_ratio,b_target_error_ratio,delta_target_error_ratio,a_traced_max_depth,b_traced_max_depth,delta_traced_max_depth,a_traced_nodes,b_traced_nodes,delta_traced_nodes,a_traced_edges,b_traced_edges,delta_traced_edges,stage6_shard_id
stage6_gemma_prompt_text_cot_gemmaprompt_v1_mf8_sharded,24,0.18723373320607273,0.10126031098057951,0.11614301942366036,0.13150468589899078,-0.01536166647533035,0.7710300762037544,0.7610714532572039,0.009958622946550538,3.75,4.0,-0.25,24.291666666666668,28.0,-3.7083333333333335,53.625,59.0,-5.375,shard_00
__all__,24,0.18723373320607273,0.10126031098057951,0.11614301942366036,0.13150468589899078,-0.01536166647533035,0.7710300762037544,0.7610714532572039,0.009958622946550538,3.75,4.0,-0.25,24.291666666666668,28.0,-3.7083333333333335,53.625,59.0,-5.375,shard_00
stage6_gemma_prompt_text_cot_gemmaprompt_v1_mf8_sharded,23,0.27963514685372326,0.15681859473017457,0.09428520599439881,0.10554587256155559,-0.011260666567156774,0.7412719171707424,0.7246434648614747,0.016628452309268203,3.3043478260869565,3.4782608695652173,-0.17391304347826086,23.0,25.52173913043478,-2.5217391304347827,41.91304347826087,52.65217391304348,-10.73913043478261,shard_01
__all__,23,0.27963514685372326,0.15681859473017457,0.09428520599439881,0.10554587256155559,-0.011260666567156774,0.7412719171707424,0.7246434648614747,0.016628452309268203,3.3043478260869565,3.4782608695652173,-0.17391304347826086,23.0,25.52173913043478,-2.5217391304347827,41.91304347826087,52.65217391304348,-10.73913043478261,shard_01
stage6_gemma_prompt_text_cot_gemmaprompt_v1_mf8_sharded,24,0.17136940380191193,0.09535172162493162,0.11260191753295935,0.09358717106718863,0.019014746465770768,0.7218413082271137,0.7890697302029075,-0.06722842197579354,3.3333333333333335,3.0,0.3333333333333333,26.458333333333332,27.5,-1.0416666666666667,41.416666666666664,42.0,-0.5833333333333334,shard_02
__all__,24,0.17136940380191193,0.09535172162493162,0.11260191753295935,0.09358717106718863,0.019014746465770768,0.7218413082271137,0.7890697302029075,-0.06722842197579354,3.3333333333333335,3.0,0.3333333333333333,26.458333333333332,27.5,-1.0416666666666667,41.416666666666664,42.0,-0.5833333333333334,shard_02
stage6_gemma_prompt_text_cot_gemmaprompt_v1_mf8_sharded,24,0.37752658765565084,0.30983788513432947,0.0877035298931828,0.11162907693248336,-0.023925547039300582,0.7981077658030803,0.8107785522734657,-0.01267078647038522,2.4583333333333335,2.5,-0.041666666666666664,20.083333333333332,18.5,1.5833333333333333,22.208333333333332,20.0,2.2083333333333335,shard_03
__all__,24,0.37752658765565084,0.30983788513432947,0.0877035298931828,0.11162907693248336,-0.023925547039300582,0.7981077658030803,0.8107785522734657,-0.01267078647038522,2.4583333333333335,2.5,-0.041666666666666664,20.083333333333332,18.5,1.5833333333333333,22.208333333333332,20.0,2.2083333333333335,shard_03
stage6_gemma_prompt_text_cot_gemmaprompt_v1_mf8_sharded,12,0.2511159831113678,0.0991481271355699,0.10188245588576482,0.10248688953459517,-0.0006044336488303601,0.7735894044339635,0.7775930414328701,-0.004003636998906573,3.25,3.0,0.25,24.333333333333332,27.0,-2.6666666666666665,39.0,42.0,-3.0,shard_04
__all__,12,0.2511159831113678,0.0991481271355699,0.10188245588576482,0.10248688953459517,-0.0006044336488303601,0.7735894044339635,0.7775930414328701,-0.004003636998906573,3.25,3.0,0.25,24.333333333333332,27.0,-2.6666666666666665,39.0,42.0,-3.0,shard_04
stage6_gemma_prompt_text_cot_gemmaprompt_v1_mf8_sharded,12,0.36931582257422596,0.20427480228116393,0.09182725737089407,0.08291606430230479,0.008911193068589273,0.7826996250818287,0.8617760093494127,-0.07907638426758402,3.3333333333333335,4.0,-0.6666666666666666,25.833333333333332,30.0,-4.166666666666667,41.833333333333336,60.0,-18.166666666666668,shard_05
__all__,12,0.36931582257422596,0.20427480228116393,0.09182725737089407,0.08291606430230479,0.008911193068589273,0.7826996250818287,0.8617760093494127,-0.07907638426758402,3.3333333333333335,4.0,-0.6666666666666666,25.833333333333332,30.0,-4.166666666666667,41.833333333333336,60.0,-18.166666666666668,shard_05
stage6_gemma_prompt_text_cot_gemmaprompt_v1_mf8_sharded,12,0.24009102219553854,0.13095238095238096,0.08670869931323445,0.10135380877480234,-0.014645109461567898,0.8171814470695634,0.8198231999600355,-0.0026417528904716936,3.3333333333333335,2.0,1.3333333333333333,27.5,18.0,9.5,42.75,28.0,14.75,shard_06
__all__,12,0.24009102219553854,0.13095238095238096,0.08670869931323445,0.10135380877480234,-0.014645109461567898,0.8171814470695634,0.8198231999600355,-0.0026417528904716936,3.3333333333333335,2.0,1.3333333333333333,27.5,18.0,9.5,42.75,28.0,14.75,shard_06
stage6_gemma_prompt_text_cot_gemmaprompt_v1_mf8_sharded,12,0.15609665185644003,0.11540071454938565,0.1359979934407161,0.1802394506802952,-0.044241457239579146,0.7827601802214935,0.7638732354102725,0.018886944811221173,2.25,2.0,0.25,19.833333333333332,20.0,-0.16666666666666666,24.833333333333332,28.0,-3.1666666666666665,shard_07
__all__,12,0.15609665185644003,0.11540071454938565,0.1359979934407161,0.1802394506802952,-0.044241457239579146,0.7827601802214935,0.7638732354102725,0.018886944811221173,2.25,2.0,0.25,19.833333333333332,20.0,-0.16666666666666666,24.833333333333332,28.0,-3.1666666666666665,shard_07
