stage6_prompt_family,stage6_question_variant,n,unique_original_samples,node_overlap_jaccard_mean,node_overlap_jaccard_ci_low,node_overlap_jaccard_ci_high,edge_overlap_jaccard_mean,edge_overlap_jaccard_ci_low,edge_overlap_jaccard_ci_high,delta_target_total_in_abs_mean,delta_target_total_in_abs_ci_low,delta_target_total_in_abs_ci_high,delta_target_total_in_abs_positive_frac,delta_target_feature_ratio_mean,delta_target_feature_ratio_ci_low,delta_target_feature_ratio_ci_high,delta_target_feature_ratio_positive_frac,delta_target_error_ratio_mean,delta_target_error_ratio_ci_low,delta_target_error_ratio_ci_high,delta_target_error_ratio_positive_frac,delta_traced_nodes_mean,delta_traced_nodes_ci_low,delta_traced_nodes_ci_high,delta_traced_nodes_positive_frac,delta_traced_edges_mean,delta_traced_edges_ci_low,delta_traced_edges_ci_high,delta_traced_edges_positive_frac,a_traced_nodes_mean,a_traced_nodes_ci_low,a_traced_nodes_ci_high,b_traced_nodes_mean,b_traced_nodes_ci_low,b_traced_nodes_ci_high,a_traced_edges_mean,a_traced_edges_ci_low,a_traced_edges_ci_high,b_traced_edges_mean,b_traced_edges_ci_low,b_traced_edges_ci_high
A_step_visual,original,12,12,0.15366924447976735,0.08625481177492055,0.22108367718461414,0.060844145180097724,-0.01123215459686535,0.1329204449570608,-15.042647361755371,-22.843000137235,-7.242294586275744,0.08333333333333333,-0.02641800202014231,-0.06709691482358868,0.014260910783304052,0.3333333333333333,-0.011196772893221999,-0.062294930352536006,0.03990138456609201,0.5,-1.0833333333333333,-5.361578395047402,3.1949117283807356,0.3333333333333333,-11.083333333333334,-18.41483193301756,-3.75183473364911,0.16666666666666666,23.416666666666668,20.703616461797356,26.12971687153598,24.5,21.630129345117176,27.369870654882824,31.083333333333332,26.377487946149344,35.78917872051732,42.166666666666664,33.335674638472995,50.997658694860334
A_step_visual,paraphrase_1,12,12,0.14931112799852872,0.09257158107965817,0.20605067491739926,0.05002543077208219,-0.0014760183135170413,0.10152687985768143,-18.31556781133016,-24.677793491128682,-11.953342131531633,0.0,-0.03171658701460836,-0.06856779803304473,0.005134624003828012,0.25,-0.004701124320182622,-0.05223706462885164,0.04283481598848639,0.4166666666666667,-0.3333333333333333,-4.90029859674094,4.2336319300742735,0.4166666666666667,-9.666666666666666,-19.722676277487913,0.38934294415458126,0.25,24.166666666666668,20.799103629679713,27.534229703653622,24.5,21.630129345117176,27.369870654882824,32.5,26.201791500511412,38.79820849948859,42.166666666666664,33.335674638472995,50.997658694860334
A_step_visual,paraphrase_2,12,12,0.13477710477331495,0.0790481687167371,0.1905060408298928,0.04628199406669708,-0.0040271294481297945,0.09659111758152394,-16.908094088236492,-24.841397530499783,-8.9747906459732,0.08333333333333333,-0.004208238794269409,-0.041171137197203625,0.032754659608664805,0.4166666666666667,-0.02263579061857536,-0.07648203418789765,0.03121045295074692,0.4166666666666667,-2.6666666666666665,-6.375579219320385,1.042245885987052,0.3333333333333333,-9.166666666666666,-16.11658244262606,-2.21675089070727,0.3333333333333333,21.833333333333332,18.764183482302787,24.902483184363877,24.5,21.630129345117176,27.369870654882824,33.0,26.087173099406023,39.91282690059398,42.166666666666664,33.335674638472995,50.997658694860334
B_direct,original,12,12,0.9930555555555555,0.9794444444444443,1.0066666666666666,0.9892075238976257,0.9739733011854897,1.0044417466097617,0.0032380421956380253,-0.008099070169368231,0.014575154560644281,0.5833333333333334,-8.43275519227596e-06,-3.952222908773736e-05,2.265671870318544e-05,0.4166666666666667,2.0291332300700597e-05,-2.714193798079377e-05,6.772460258219496e-05,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,21.630129345117176,27.369870654882824,24.5,21.630129345117176,27.369870654882824,42.166666666666664,33.335674638472995,50.997658694860334,42.166666666666664,33.335674638472995,50.997658694860334
B_direct,paraphrase_1,12,12,0.3216311991777837,0.17922534406555515,0.4640370542900123,0.20903712163308383,0.0592705894959529,0.3588036537702147,3.0084598859151206,-1.4248030986421578,7.4417228704723986,0.6666666666666666,0.004988093303152491,-0.01339515813780439,0.023371344744109374,0.3333333333333333,-0.004598782660498701,-0.020521452552524258,0.011323887231526858,0.5833333333333334,1.25,-2.005883718420974,4.505883718420974,0.5,2.6666666666666665,-0.994862516556644,6.328195849889977,0.5833333333333334,25.75,22.987343724425767,28.512656275574233,24.5,21.630129345117176,27.369870654882824,44.833333333333336,36.720297308801364,52.94636935786531,42.166666666666664,33.335674638472995,50.997658694860334
B_direct,paraphrase_2,12,12,0.23759375475198077,0.13868914822131806,0.3364983612826435,0.09274262760213897,-0.006619266689157813,0.19210452189343574,2.0622976620992026,-0.7044064180277507,4.829001742226156,0.6666666666666666,0.01146897416430745,-0.003972760030449933,0.026910708359064832,0.6666666666666666,-0.01021439641568755,-0.02549363206425251,0.005064839232877412,0.4166666666666667,1.0833333333333333,-2.1486262311201925,4.315292897786859,0.5833333333333334,4.916666666666667,-0.31626045518648116,10.149593788519816,0.6666666666666666,25.583333333333332,22.48939220312873,28.677274463537934,24.5,21.630129345117176,27.369870654882824,47.083333333333336,38.95372346780741,55.212943198859264,42.166666666666664,33.335674638472995,50.997658694860334
C_step_only,original,12,12,0.15733338076463327,0.0930228389256767,0.22164392260358984,0.06835166036630345,0.0034028892753383,0.1333004314572686,-13.89684502283732,-20.928555321381864,-6.8651347242927745,0.16666666666666666,-0.01569745619063379,-0.05256153724629037,0.021166624865022795,0.4166666666666667,-0.023380063722408667,-0.06791112542205047,0.021150997977233126,0.4166666666666667,-2.0833333333333335,-5.1010846869612685,0.9344180202946011,0.3333333333333333,-9.25,-14.55839044258324,-3.9416095574167596,0.16666666666666666,22.416666666666668,19.892555261867273,24.940778071466063,24.5,21.630129345117176,27.369870654882824,32.916666666666664,27.573666809400386,38.25966652393294,42.166666666666664,33.335674638472995,50.997658694860334
C_step_only,paraphrase_1,12,12,0.15050995919851162,0.09354038703912226,0.20747953135790098,0.05848415617982416,0.0023942784834345768,0.11457403387621373,-7.431458314259847,-14.339222141094904,-0.5236944874247902,0.3333333333333333,-0.009355762597109492,-0.045203521819439665,0.026491996625220685,0.25,-0.02704854486684127,-0.06943635751434946,0.01533926778066692,0.3333333333333333,-1.75,-4.44870956817019,0.94870956817019,0.25,-4.416666666666667,-11.216835039507881,2.3835017061745463,0.3333333333333333,22.75,20.360131866196443,25.139868133803557,24.5,21.630129345117176,27.369870654882824,37.75,29.532560857505175,45.967439142494825,42.166666666666664,33.335674638472995,50.997658694860334
C_step_only,paraphrase_2,12,12,0.15941956887206152,0.10179788909589862,0.2170412486482244,0.05759486052447824,0.0015694060171329294,0.11362031503182356,-7.752660592397054,-15.15471934136271,-0.3506018434313978,0.25,-0.020985649194559152,-0.04660609390768104,0.0046347955185627385,0.08333333333333333,-0.00020590725381679047,-0.024200649344589847,0.023788834836956263,0.6666666666666666,-1.3333333333333333,-4.397738296417975,1.7310716297513082,0.25,-4.25,-10.755619249401384,2.2556192494013834,0.3333333333333333,23.166666666666668,20.365217546708003,25.968115786625333,24.5,21.630129345117176,27.369870654882824,37.916666666666664,29.3275015986489,46.50583173468443,42.166666666666664,33.335674638472995,50.997658694860334
D_visual_only,original,12,12,0.22286875784456694,0.15810697525581024,0.28763054043332364,0.09921836894895626,0.024564259712836628,0.1738724781850759,-3.378715991973877,-6.4483810505125385,-0.3090509334352154,0.25,0.016151673831210734,-0.014439782617369036,0.046743130279790504,0.5,-0.025798974265135933,-0.056390263498580714,0.004792314968308852,0.25,-1.1666666666666667,-4.661458751637062,2.3281254183037285,0.25,-1.75,-8.124567127311945,4.624567127311946,0.3333333333333333,23.333333333333332,21.0276547921326,25.639011874534063,24.5,21.630129345117176,27.369870654882824,40.416666666666664,31.864854583897895,48.968478749435434,42.166666666666664,33.335674638472995,50.997658694860334
