asset_id,bridge_operator,case_count,direction,mean_oriented_first_token_gap,mean_oriented_margin_gap,mean_oriented_rank_gap,mean_oriented_sequence_gap,positive_first_token_frac,positive_margin_frac,positive_rank_frac,positive_sequence_frac,source_decoded_changed_vs_reference_count,source_decoded_to_clean_count
gemma3_hidden,hidden_residual,1,corrupt,2.25,1.25,0.0,-1.53509521484375,1.0,1.0,0.0,0.0,0,0
gemma3_hidden,hidden_residual,1,restore,30.5625,2.3125,4191.0,24.58910369873047,1.0,1.0,1.0,1.0,0,0
gemma3_plt,plt_reconstruction_error,3,corrupt,2.0,0.25,0.0,-1.9501279195149739,1.0,0.6666666666666666,0.0,0.0,0,0
gemma3_plt,plt_reconstruction_error,3,restore,31.020833333333332,2.1875,3738.0,25.381432851155598,1.0,1.0,1.0,1.0,0,0
gemma3_plt,plt_topk_reconstruction,3,corrupt,0.0,0.08333333333333333,0.0,0.3874308268229167,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0,0
gemma3_plt,plt_topk_reconstruction,3,restore,-0.6302083333333334,-0.109375,-1781.3333333333333,0.09042104085286458,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,3,0
qwen2p5vl_hidden,hidden_residual,1,corrupt,4.5625,5.5,23.0,-0.5306682586669922,1.0,1.0,1.0,0.0,0,0
qwen2p5vl_hidden,hidden_residual,1,restore,7.25,6.9375,2881.0,1.9348182678222656,1.0,1.0,1.0,1.0,0,0
qwen2p5vl_plt,qwen_plt_multifeature,5,corrupt,-0.078125,,0.0,0.07984647750854493,0.4,,0.0,0.6,2,3
qwen2p5vl_plt,qwen_plt_multifeature,5,restore,0.1546875,,59.4,0.017586612701416017,1.0,,0.6,0.6,0,0
