model,overlap_metric,overlap_value_ci_low_sem,overlap_value_mean,overlap_value_positive_frac,route_object,rows,stage6_prompt_family,topk,unique_samples
gemma,edge_overlap_jaccard,0.013326065500328804,0.07049529198717887,0.65,gemma_source_tracing_graph,20,A_step_visual,graph_mf8,20
gemma,edge_overlap_jaccard,0.28611632480696536,0.43032909104428285,0.8611111111111112,gemma_source_tracing_graph,36,B_direct,graph_mf8,36
gemma,edge_overlap_jaccard,0.028034870071330063,0.06622415526587201,0.7096774193548387,gemma_source_tracing_graph,31,C_step_only,graph_mf8,31
gemma,edge_overlap_jaccard,0.04636728747842348,0.08650324252825686,0.75,gemma_source_tracing_graph,32,D_visual_only,graph_mf8,32
gemma,node_overlap_jaccard,0.10839241752085124,0.15910628387134995,1.0,gemma_source_tracing_graph,20,A_step_visual,graph_mf8,20
gemma,node_overlap_jaccard,0.3920753028071665,0.5174268364951067,1.0,gemma_source_tracing_graph,36,B_direct,graph_mf8,36
gemma,node_overlap_jaccard,0.1249480624265333,0.1612008572041267,1.0,gemma_source_tracing_graph,31,C_step_only,graph_mf8,31
gemma,node_overlap_jaccard,0.16760507819662346,0.20517646313638846,1.0,gemma_source_tracing_graph,32,D_visual_only,graph_mf8,32
qwen,feature_id_overlap,0.5307762893050052,0.568362951547936,1.0,qwen_route_first_feature_set,36,A_step_visual,16,12
qwen,feature_id_overlap,0.10927654705246245,0.14814814814814814,0.75,qwen_route_first_feature_set,36,A_step_visual,4,12
qwen,feature_id_overlap,0.2830114011369327,0.3305100763434097,1.0,qwen_route_first_feature_set,36,A_step_visual,8,12
qwen,feature_id_overlap,0.6254409953419442,0.7032829430726747,1.0,qwen_route_first_feature_set,36,B_direct,16,12
qwen,feature_id_overlap,0.2892710395582018,0.42804232804232806,0.8055555555555556,qwen_route_first_feature_set,36,B_direct,4,12
qwen,feature_id_overlap,0.4361304797265693,0.5484319692653026,1.0,qwen_route_first_feature_set,36,B_direct,8,12
qwen,feature_id_overlap,0.5123747696605768,0.5548104753051863,1.0,qwen_route_first_feature_set,36,C_step_only,16,12
qwen,feature_id_overlap,0.12160298280814771,0.17546296296296296,0.6944444444444444,qwen_route_first_feature_set,36,C_step_only,4,12
qwen,feature_id_overlap,0.25521158191763593,0.30298798423798423,0.9722222222222222,qwen_route_first_feature_set,36,C_step_only,8,12
qwen,feature_id_overlap,0.5226429940241838,0.5587120849375752,1.0,qwen_route_first_feature_set,36,D_visual_only,16,12
qwen,feature_id_overlap,0.10753386728383144,0.14854497354497354,0.6944444444444444,qwen_route_first_feature_set,36,D_visual_only,4,12
qwen,feature_id_overlap,0.26561814444580933,0.3122407684907685,0.9722222222222222,qwen_route_first_feature_set,36,D_visual_only,8,12
qwen,layer_pos_feature_overlap,0.3382402658025699,0.36479496170317427,1.0,qwen_route_first_feature_set,36,A_step_visual,16,12
qwen,layer_pos_feature_overlap,0.03765371775396995,0.07142857142857142,0.3888888888888889,qwen_route_first_feature_set,36,A_step_visual,4,12
qwen,layer_pos_feature_overlap,0.13127650446380046,0.16091686091686092,0.9444444444444444,qwen_route_first_feature_set,36,A_step_visual,8,12
qwen,layer_pos_feature_overlap,0.4743856210160744,0.5761768666116492,1.0,qwen_route_first_feature_set,36,B_direct,16,12
qwen,layer_pos_feature_overlap,0.22102263443939224,0.3703703703703704,0.5555555555555556,qwen_route_first_feature_set,36,B_direct,4,12
qwen,layer_pos_feature_overlap,0.2877052712133117,0.42490842490842495,0.8888888888888888,qwen_route_first_feature_set,36,B_direct,8,12
qwen,layer_pos_feature_overlap,0.31327132515742323,0.34701172865424074,1.0,qwen_route_first_feature_set,36,C_step_only,16,12
qwen,layer_pos_feature_overlap,0.06170082787187372,0.10264550264550264,0.5555555555555556,qwen_route_first_feature_set,36,C_step_only,4,12
qwen,layer_pos_feature_overlap,0.13655109397551243,0.16512931512931514,0.9722222222222222,qwen_route_first_feature_set,36,C_step_only,8,12
qwen,layer_pos_feature_overlap,0.32273407265791665,0.34896433679042377,1.0,qwen_route_first_feature_set,36,D_visual_only,16,12
qwen,layer_pos_feature_overlap,0.04978955320668116,0.08333333333333333,0.4722222222222222,qwen_route_first_feature_set,36,D_visual_only,4,12
qwen,layer_pos_feature_overlap,0.13122586323459995,0.1572853072853073,0.9722222222222222,qwen_route_first_feature_set,36,D_visual_only,8,12
