attempted_over_planned,attempted_rows,error_rows,not_attempted_rows,out_of_range_over_attempted,planned_aligned_rows,planned_rows,skipped_unaligned_rows,source_pos_out_of_range_rows,stage6_original_sample_id,unique_samples,usable_exact_over_planned,usable_exact_over_planned_aligned,usable_exact_rows
1.0,48,0,0,0.0,32,48,16,0,okvqa_val_00327,1,0.6666666666666666,1.0,32
1.0,48,0,0,0.0,36,48,12,0,okvqa_val_03085,1,0.75,1.0,36
1.0,48,0,0,0.0,48,48,0,0,okvqa_val_03609,1,1.0,1.0,48
1.0,12,0,0,0.0,12,12,0,0,okvqa_val_03979,1,1.0,1.0,12
1.0,48,8,0,0.16666666666666666,44,48,4,8,okvqa_val_1440035,1,0.75,0.8181818181818182,36
1.0,48,0,0,0.0,28,48,20,0,okvqa_val_147735,1,0.5833333333333334,1.0,28
1.0,48,0,0,0.0,48,48,0,0,okvqa_val_1499095,1,1.0,1.0,48
1.0,48,0,0,0.0,32,48,16,0,okvqa_val_216885,1,0.6666666666666666,1.0,32
1.0,48,0,0,0.0,48,48,0,0,okvqa_val_4075245,1,1.0,1.0,48
1.0,44,4,0,0.09090909090909091,36,44,8,4,okvqa_val_4837235,1,0.7272727272727273,0.8888888888888888,32
1.0,48,0,0,0.0,28,48,20,0,okvqa_val_4943285,1,0.5833333333333334,1.0,28
1.0,36,2,0,0.05555555555555555,36,36,0,2,okvqa_val_4987585,1,0.9444444444444444,0.9444444444444444,34
